EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		16	315a506b45bf99b6c629709c51653b74e738aec5	4/18/2017 8:44:22 AM		4/18/2017 8:44:44 AM	17.24416
ClickButton	NumberedLines					4/18/2017 9:34:41 AM	3015.101
FractionGenerated	NumberedLines	line_1				4/18/2017 9:34:41 AM	3015.101
FractionChange	Denominator	line_1		1		4/18/2017 9:35:08 AM	3042.424
FractionChange	Denominator	line_1		2		4/18/2017 9:35:09 AM	3042.591
FractionChange	Denominator	line_1		1		4/18/2017 9:35:24 AM	3057.677
FractionChange	Denominator	line_1		1		4/18/2017 9:35:29 AM	3063.398
FractionChange	Denominator	line_1		2		4/18/2017 9:35:34 AM	3068.078
FractionChange	Denominator	line_1		3		4/18/2017 9:35:35 AM	3068.506
FractionChange	Denominator	line_1		4		4/18/2017 9:35:35 AM	3068.84
FractionChange	Denominator	line_1		5		4/18/2017 9:35:35 AM	3069.327
FractionChange	Denominator	line_1		4		4/18/2017 9:35:38 AM	3071.764
FractionChange	Denominator	line_1		3		4/18/2017 9:35:38 AM	3071.99
FractionChange	Denominator	line_1		2		4/18/2017 9:35:38 AM	3072.431
FractionChange	Denominator	line_1		1		4/18/2017 9:35:39 AM	3072.677
FractionChange	Denominator	line_1		1		4/18/2017 9:35:39 AM	3072.9
PressFraction	NumberedLines	line_1		0/1	(0.3125, 0)	4/18/2017 9:35:55 AM	3088.637
ReleaseFraction	NumberedLines	line_1		0/1	(0.3125, 0)	4/18/2017 9:35:55 AM	3088.761
FractionChange	Numerator	line_1		1		4/18/2017 9:36:05 AM	3099.156
FractionChange	Numerator	line_1		0		4/18/2017 9:36:09 AM	3103.213
PressFraction	NumberedLines	line_1		0/1	(0.3125, 0)	4/18/2017 9:36:43 AM	3136.484
FractionTrashed	NumberedLines	line_1		0/1		4/18/2017 9:36:46 AM	3140.198
ReleaseFraction	NumberedLines	line_1		0/1	(-10.86667, 8.466667)	4/18/2017 9:36:46 AM	3140.198
ClickButton	Shape/VRects					4/18/2017 9:37:09 AM	3162.599
FractionGenerated	VRects	vrect_2				4/18/2017 9:37:09 AM	3162.599
FractionChange	Denominator	vrect_2		1		4/18/2017 9:37:26 AM	3179.779
FractionChange	Denominator	vrect_2		2		4/18/2017 9:37:27 AM	3180.494
FractionChange	Denominator	vrect_2		3		4/18/2017 9:37:27 AM	3181.236
FractionChange	Denominator	vrect_2		4		4/18/2017 9:37:28 AM	3181.865
PressFraction	VRects	vrect_2		0/4	(1.125, -1)	4/18/2017 9:37:44 AM	3198.143
ReleaseFraction	VRects	vrect_2		0/4	(1.125, -1)	4/18/2017 9:37:44 AM	3198.257
FractionChange	Numerator	vrect_2		1		4/18/2017 9:37:46 AM	3199.636
FractionChange	Numerator	vrect_2		2		4/18/2017 9:37:47 AM	3200.607
FractionChange	Numerator	vrect_2		3		4/18/2017 9:37:47 AM	3201.224
FractionChange	Numerator	vrect_2		4		4/18/2017 9:37:48 AM	3201.631
EndStateReached						4/18/2017 9:37:50 AM	3203.612
FractionChange	Numerator	vrect_2		3		4/18/2017 9:37:58 AM	3212.423
FractionChange	Numerator	vrect_2		2		4/18/2017 9:38:03 AM	3217.11
EndStateReached						4/18/2017 9:38:06 AM	3220.114
PressFraction	VRects	vrect_2		2/4	(1.125, -1)	4/18/2017 9:38:13 AM	3227.339
ReleaseFraction	VRects	vrect_2		2/4	(1.125, -1)	4/18/2017 9:38:14 AM	3227.503
FractionChange	Denominator	vrect_2		5		4/18/2017 9:38:16 AM	3229.888
EndStateReached						4/18/2017 9:38:16 AM	3230.344
EndStateReached						4/18/2017 9:38:17 AM	3230.506
PressFraction	VRects	vrect_2		2/5	(1.125, -1)	4/18/2017 9:38:19 AM	3233.327
ReleaseFraction	VRects	vrect_2		2/5	(1.125, -1)	4/18/2017 9:38:20 AM	3233.472
FractionChange	Numerator	vrect_2		3		4/18/2017 9:38:21 AM	3234.798
FractionChange	Numerator	vrect_2		4		4/18/2017 9:38:21 AM	3235.41
FractionChange	Numerator	vrect_2		5		4/18/2017 9:38:23 AM	3237.239
PressFraction	VRects	vrect_2		5/5	(1.125, -1)	4/18/2017 9:38:30 AM	3243.598
FractionTrashed	VRects	vrect_2		5/5		4/18/2017 9:38:31 AM	3244.658
ReleaseFraction	VRects	vrect_2		5/5	(-10.93333, 7.933333)	4/18/2017 9:38:31 AM	3244.658
ClickButton	Set/Hearts					4/18/2017 9:39:01 AM	3275.408
FractionGenerated	HeartSets	heartset_3				4/18/2017 9:39:01 AM	3275.408
FractionChange	Denominator	heartset_3		1		4/18/2017 9:39:09 AM	3282.569
FractionChange	Denominator	heartset_3		2		4/18/2017 9:39:10 AM	3283.944
FractionChange	Denominator	heartset_3		3		4/18/2017 9:39:11 AM	3284.741
FractionChange	Denominator	heartset_3		4		4/18/2017 9:39:17 AM	3290.624
PressFraction	HeartSets	heartset_3		0/4	(0.28125, 0)	4/18/2017 9:39:20 AM	3293.595
ReleaseFraction	HeartSets	heartset_3		0/4	(0.28125, 0)	4/18/2017 9:39:20 AM	3293.729
FractionChange	Numerator	heartset_3		1		4/18/2017 9:39:21 AM	3294.864
FractionChange	Numerator	heartset_3		2		4/18/2017 9:39:23 AM	3297.08
FractionChange	Numerator	heartset_3		1		4/18/2017 9:39:24 AM	3298.118
EndStateReached						4/18/2017 9:39:26 AM	3300.082
FractionChange	Numerator	heartset_3		2		4/18/2017 9:39:29 AM	3303.394
FractionChange	Numerator	heartset_3		3		4/18/2017 9:39:30 AM	3303.776
FractionChange	Numerator	heartset_3		4		4/18/2017 9:39:30 AM	3304.151
EndStateReached						4/18/2017 9:39:32 AM	3306.397
FractionChange	Numerator	heartset_3		3		4/18/2017 9:39:40 AM	3313.729
FractionChange	Numerator	heartset_3		2		4/18/2017 9:39:41 AM	3314.496
FractionChange	Numerator	heartset_3		1		4/18/2017 9:39:41 AM	3314.907
FractionChange	Numerator	heartset_3		0		4/18/2017 9:39:41 AM	3315.262
FractionChange	Numerator	heartset_3		1		4/18/2017 9:39:43 AM	3316.517
