EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		23	b7c5759ffeb4e537d078209e94e001cdc0b4b575	4/18/2017 1:55:37 PM		4/18/2017 1:55:41 PM	2.206152
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:55:44 PM	5.202399
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:55:44 PM	5.39249
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:55:44 PM	5.543502
PopupAfterTaskReflection						4/18/2017 1:55:44 PM	5.712465
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:55:46 PM		4/18/2017 1:55:46 PM	7.093349
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:55:47 PM		4/18/2017 1:55:47 PM	7.917565
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:55:47 PM		4/18/2017 1:55:47 PM	8.72863
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:55:48 PM	9.577474
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:55:48 PM	9.761701
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:55:49 PM	9.927719
PopupAfterTaskReflection						4/18/2017 1:55:49 PM	10.13177
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	一般	4/18/2017 1:55:49 PM		4/18/2017 1:55:49 PM	10.87479
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:55:51 PM		4/18/2017 1:55:51 PM	11.92161
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:55:51 PM		4/18/2017 1:55:51 PM	12.69174
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:55:52 PM		4/18/2017 1:55:52 PM	13.14957
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:55:52 PM	13.62401
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:55:52 PM	13.79081
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:55:53 PM	13.9098
PopupAfterTaskReflection						4/18/2017 1:55:53 PM	14.52765
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:55:55 PM		4/18/2017 1:55:55 PM	16.2657
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:55:56 PM		4/18/2017 1:55:56 PM	17.13771
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:55:56 PM		4/18/2017 1:55:56 PM	17.80172
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:55:57 PM	18.36097
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:55:57 PM	18.52088
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:55:58 PM	19.25885
PopupAfterTaskReflection						4/18/2017 1:55:58 PM	19.41413
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:55:59 PM		4/18/2017 1:55:59 PM	20.46716
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:56:00 PM		4/18/2017 1:56:00 PM	21.15694
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:56:00 PM		4/18/2017 1:56:00 PM	21.83416
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:56:01 PM	22.33803
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:56:01 PM	22.51909
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:56:01 PM	22.6821
PopupAfterTaskReflection						4/18/2017 1:56:01 PM	22.82007
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:56:03 PM		4/18/2017 1:56:03 PM	23.94616
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很无聊	4/18/2017 1:56:03 PM		4/18/2017 1:56:03 PM	24.63412
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很无聊	4/18/2017 1:56:03 PM		4/18/2017 1:56:03 PM	24.84424
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:56:04 PM		4/18/2017 1:56:04 PM	25.4862
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:56:05 PM		4/18/2017 1:56:05 PM	26.05039
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:56:05 PM	26.58623
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:56:05 PM	26.76698
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:56:06 PM	27.36733
PopupAfterTaskReflection						4/18/2017 1:56:06 PM	27.54129
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:56:08 PM		4/18/2017 1:56:08 PM	28.92936
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:56:10 PM		4/18/2017 1:56:10 PM	31.5925
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:56:11 PM		4/18/2017 1:56:11 PM	32.13387
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:56:12 PM	33.18954
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:56:12 PM	33.36157
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:56:13 PM	33.98753
PopupAfterTaskReflection						4/18/2017 1:56:13 PM	34.19147
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:56:14 PM		4/18/2017 1:56:14 PM	35.32844
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:56:16 PM		4/18/2017 1:56:16 PM	37.21249
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:56:17 PM		4/18/2017 1:56:17 PM	38.62777
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:56:18 PM	39.48058
TaskChange_warningMessage	ClickForward			2		4/18/2017 1:56:18 PM	39.64178
TaskChange_warningMessage	ClickForward			3		4/18/2017 1:56:19 PM	40.31184
PopupAfterTaskReflection						4/18/2017 1:56:19 PM	40.5079
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:56:20 PM		4/18/2017 1:56:20 PM	41.7449
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:56:22 PM		4/18/2017 1:56:22 PM	43.36644
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:56:23 PM		4/18/2017 1:56:23 PM	44.09903
TaskChange_warningMessage	ClickForward			1		4/18/2017 1:56:24 PM	44.96799
