EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		19	226fdaf1639840cffddc2f364483e6c2182c8a44	4/20/2017 10:18:27 AM		4/20/2017 10:19:51 AM	82.27459
ClickButton	LiquidMeasures					4/20/2017 10:20:41 AM	132.0953
FractionGenerated	LiquidMeasures	liquid_1				4/20/2017 10:20:41 AM	132.0953
PressFraction	LiquidMeasures	liquid_1		0/0	(0.9375, 0)	4/20/2017 10:20:44 AM	135.3185
FractionTrashed	LiquidMeasures	liquid_1		0/0		4/20/2017 10:20:45 AM	136.9424
ReleaseFraction	LiquidMeasures	liquid_1		0/0	(-11.63333, 8.133333)	4/20/2017 10:20:45 AM	136.9424
ClickButton	NumberedLines					4/20/2017 10:20:50 AM	141.1257
FractionGenerated	NumberedLines	line_2				4/20/2017 10:20:50 AM	141.1257
PressFraction	NumberedLines	line_2		0/0	(1.3125, -1)	4/20/2017 10:20:53 AM	144.0551
FractionTrashed	NumberedLines	line_2		0/0		4/20/2017 10:20:54 AM	145.9989
ReleaseFraction	NumberedLines	line_2		0/0	(-11.8, 8.066667)	4/20/2017 10:20:54 AM	145.9989
ClickButton	Shape/VRects					4/20/2017 10:21:55 AM	206.4305
FractionGenerated	VRects	vrect_3				4/20/2017 10:21:55 AM	206.4305
PressFraction	VRects	vrect_3		0/0	(1.125, 0)	4/20/2017 10:21:56 AM	207.2635
ReleaseFraction	VRects	vrect_3		0/0	(1.125, 0)	4/20/2017 10:21:56 AM	207.3744
PressFraction	VRects	vrect_3		0/0	(1.125, 0)	4/20/2017 10:21:57 AM	208.2465
FractionTrashed	VRects	vrect_3		0/0		4/20/2017 10:22:00 AM	211.5603
ReleaseFraction	VRects	vrect_3		0/0	(-11.76667, 8.633333)	4/20/2017 10:22:00 AM	211.5603
ClickButton	Shape/HRects					4/20/2017 10:22:02 AM	213.0608
FractionGenerated	HRects	hrect_4				4/20/2017 10:22:02 AM	213.0608
PressFraction	HRects	hrect_4		0/0	(0.125, 0)	4/20/2017 10:22:04 AM	215.0891
FractionTrashed	HRects	hrect_4		0/0		4/20/2017 10:22:05 AM	216.4449
ReleaseFraction	HRects	hrect_4		0/0	(-11.5, 8.266666)	4/20/2017 10:22:05 AM	216.4449
ClickButton	Shape/VRects					4/20/2017 10:22:07 AM	218.4211
FractionGenerated	VRects	vrect_5				4/20/2017 10:22:07 AM	218.4211
FractionChange	Denominator	vrect_5		1		4/20/2017 10:22:11 AM	222.9102
FractionChange	Denominator	vrect_5		2		4/20/2017 10:22:12 AM	223.1182
FractionChange	Denominator	vrect_5		3		4/20/2017 10:22:12 AM	223.3344
FractionChange	Denominator	vrect_5		4		4/20/2017 10:22:12 AM	223.5344
FractionChange	Denominator	vrect_5		5		4/20/2017 10:22:12 AM	223.7422
FractionChange	Denominator	vrect_5		6		4/20/2017 10:22:14 AM	225.1413
FractionChange	Denominator	vrect_5		7		4/20/2017 10:22:14 AM	225.3333
FractionChange	Denominator	vrect_5		8		4/20/2017 10:22:14 AM	225.5334
FractionChange	Denominator	vrect_5		9		4/20/2017 10:22:14 AM	225.7585
FractionChange	Denominator	vrect_5		10		4/20/2017 10:22:14 AM	225.9664
FractionChange	Denominator	vrect_5		11		4/20/2017 10:22:15 AM	226.1425
FractionChange	Denominator	vrect_5		10		4/20/2017 10:22:15 AM	226.7566
FractionChange	Denominator	vrect_5		9		4/20/2017 10:22:15 AM	226.9655
FractionChange	Denominator	vrect_5		8		4/20/2017 10:22:16 AM	227.1646
FractionChange	Denominator	vrect_5		7		4/20/2017 10:22:16 AM	227.3346
FractionChange	Denominator	vrect_5		6		4/20/2017 10:22:16 AM	227.9346
PressFraction	VRects	vrect_5		0/6	(1.125, -1)	4/20/2017 10:22:18 AM	229.8448
