EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		1	debd63bd99dec14f1e180fc91431b8264a731277	4/20/2017 10:17:42 AM		4/20/2017 10:19:24 AM	98.17147
ClickButton	LiquidMeasures					4/20/2017 10:21:16 AM	209.6815
FractionGenerated	LiquidMeasures	liquid_1				4/20/2017 10:21:16 AM	209.6815
FractionChange	Denominator	liquid_1		1		4/20/2017 10:21:36 AM	229.7047
FractionChange	Denominator	liquid_1		2		4/20/2017 10:21:37 AM	230.7928
FractionChange	Denominator	liquid_1		3		4/20/2017 10:21:37 AM	231.127
FractionChange	Denominator	liquid_1		4		4/20/2017 10:21:37 AM	231.5689
FractionChange	Denominator	liquid_1		5		4/20/2017 10:21:38 AM	232.015
FractionChange	Denominator	liquid_1		6		4/20/2017 10:21:38 AM	232.5208
PressFraction	LiquidMeasures	liquid_1		0/6	(0.9375, 0)	4/20/2017 10:21:41 AM	234.8729
ReleaseFraction	LiquidMeasures	liquid_1		0/6	(0.9375, 0)	4/20/2017 10:21:41 AM	235.0009
FractionChange	Numerator	liquid_1		1		4/20/2017 10:21:42 AM	236.0248
FractionChange	Numerator	liquid_1		2		4/20/2017 10:21:43 AM	236.6561
FractionChange	Numerator	liquid_1		3		4/20/2017 10:21:43 AM	237.272
EndStateReached						4/20/2017 10:21:46 AM	240.2721
PopupAfterTaskReflection						4/20/2017 10:22:14 AM	268.2964
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 10:22:57 AM		4/20/2017 10:22:57 AM	311.2718
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 10:23:02 AM		4/20/2017 10:23:02 AM	315.7751
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 10:23:21 AM		4/20/2017 10:23:21 AM	335.353
ClickButton	LiquidMeasures					4/20/2017 10:25:43 AM	477.1918
FractionGenerated	LiquidMeasures	liquid_2				4/20/2017 10:25:43 AM	477.1918
