EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		21	a40b58e62bc08081efa1fcc333b66ae4a7da30b9	4/20/2017 10:18:19 AM		4/20/2017 10:19:04 AM	41.11559
ClickButton	Shape/VRects					4/20/2017 10:21:03 AM	160.2385
FractionGenerated	VRects	vrect_1				4/20/2017 10:21:03 AM	160.2385
FractionChange	Denominator	vrect_1		1		4/20/2017 10:21:19 AM	176.2311
FractionChange	Denominator	vrect_1		2		4/20/2017 10:21:20 AM	176.7911
FractionChange	Denominator	vrect_1		3		4/20/2017 10:21:20 AM	177.3029
FractionChange	Denominator	vrect_1		4		4/20/2017 10:21:21 AM	177.8061
FractionChange	Denominator	vrect_1		5		4/20/2017 10:21:21 AM	178.247
FractionChange	Denominator	vrect_1		6		4/20/2017 10:21:22 AM	179.192
PressFraction	VRects	vrect_1		0/6	(1.125, 1)	4/20/2017 10:21:27 AM	183.7673
ReleaseFraction	VRects	vrect_1		0/6	(1.125, 1)	4/20/2017 10:21:27 AM	183.9042
FractionChange	Numerator	vrect_1		1		4/20/2017 10:21:28 AM	185.0554
FractionChange	Numerator	vrect_1		2		4/20/2017 10:21:29 AM	185.5592
FractionChange	Numerator	vrect_1		3		4/20/2017 10:21:29 AM	186.0704
EndStateReached						4/20/2017 10:21:32 AM	189.0705
PopupAfterTaskReflection						4/20/2017 10:21:59 AM	215.9185
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 10:22:42 AM		4/20/2017 10:22:42 AM	258.9969
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 10:22:45 AM		4/20/2017 10:22:45 AM	262.0121
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 10:23:11 AM		4/20/2017 10:23:11 AM	288.197
ClickButton	Shape/VRects					4/20/2017 10:28:10 AM	586.9265
FractionGenerated	VRects	vrect_2				4/20/2017 10:28:10 AM	586.9265
FractionChange	Denominator	vrect_2		1		4/20/2017 10:28:13 AM	590.1733
FractionChange	Denominator	vrect_2		2		4/20/2017 10:28:13 AM	590.4373
FractionChange	Denominator	vrect_2		3		4/20/2017 10:28:14 AM	590.7654
FractionChange	Denominator	vrect_2		4		4/20/2017 10:28:14 AM	591.1174
FractionChange	Denominator	vrect_2		5		4/20/2017 10:28:14 AM	591.3976
FractionChange	Denominator	vrect_2		6		4/20/2017 10:28:15 AM	591.7344
FractionChange	Denominator	vrect_2		7		4/20/2017 10:28:15 AM	592.1326
FractionChange	Denominator	vrect_2		8		4/20/2017 10:28:15 AM	592.5255
FractionChange	Denominator	vrect_2		9		4/20/2017 10:28:16 AM	592.9266
FractionChange	Denominator	vrect_2		10		4/20/2017 10:28:42 AM	619.1575
FractionChange	Denominator	vrect_2		11		4/20/2017 10:28:43 AM	619.6445
FractionChange	Denominator	vrect_2		12		4/20/2017 10:28:43 AM	620.0626
FractionChange	Denominator	vrect_2		13		4/20/2017 10:28:43 AM	620.5165
FractionChange	Denominator	vrect_2		14		4/20/2017 10:28:44 AM	621.0056
FractionChange	Denominator	vrect_2		15		4/20/2017 10:28:44 AM	621.4535
FractionChange	Denominator	vrect_2		16		4/20/2017 10:28:45 AM	621.9335
FractionChange	Denominator	vrect_2		17		4/20/2017 10:28:45 AM	622.4446
FractionChange	Denominator	vrect_2		18		4/20/2017 10:28:46 AM	622.9255
PressFraction	VRects	vrect_2		0/18	(0.125, 0)	4/20/2017 10:28:57 AM	634.1559
ReleaseFraction	VRects	vrect_2		0/18	(0.125, 0)	4/20/2017 10:28:57 AM	634.3242
FractionChange	Numerator	vrect_2		1		4/20/2017 10:29:00 AM	636.7881
FractionChange	Numerator	vrect_2		2		4/20/2017 10:29:00 AM	637.244
FractionChange	Numerator	vrect_2		3		4/20/2017 10:29:01 AM	637.7083
EndStateReached						4/20/2017 10:29:04 AM	640.7102
PopupAfterTaskReflection						4/20/2017 10:29:08 AM	645.0115
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	一般	4/20/2017 10:29:14 AM		4/20/2017 10:29:14 AM	650.6297
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 10:29:16 AM		4/20/2017 10:29:16 AM	652.7557
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 10:29:18 AM		4/20/2017 10:29:18 AM	654.7258
ClickButton	Shape/VRects					4/20/2017 10:30:46 AM	743.2179
FractionGenerated	VRects	vrect_3				4/20/2017 10:30:46 AM	743.2179
FractionChange	Denominator	vrect_3		1		4/20/2017 10:31:07 AM	763.7625
FractionChange	Denominator	vrect_3		2		4/20/2017 10:31:07 AM	764.3546
FractionChange	Denominator	vrect_3		3		4/20/2017 10:31:08 AM	764.8495
FractionChange	Denominator	vrect_3		4		4/20/2017 10:31:08 AM	765.4496
FractionChange	Denominator	vrect_3		5		4/20/2017 10:31:09 AM	766.1467
FractionChange	Denominator	vrect_3		6		4/20/2017 10:31:10 AM	766.7465
FractionChange	Denominator	vrect_3		7		4/20/2017 10:31:10 AM	767.2097
FractionChange	Denominator	vrect_3		8		4/20/2017 10:31:11 AM	767.6488
FractionChange	Denominator	vrect_3		9		4/20/2017 10:31:11 AM	768.1688
FractionChange	Denominator	vrect_3		10		4/20/2017 10:31:12 AM	768.6907
FractionChange	Denominator	vrect_3		11		4/20/2017 10:31:12 AM	769.1856
FractionChange	Denominator	vrect_3		12		4/20/2017 10:31:13 AM	769.6996
PressFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:13 AM	770.5289
ReleaseFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:14 AM	770.6487
FractionChange	Numerator	vrect_3		1		4/20/2017 10:31:18 AM	775.1458
FractionChange	Numerator	vrect_3		2		4/20/2017 10:31:19 AM	775.5792
FractionChange	Numerator	vrect_3		3		4/20/2017 10:31:19 AM	776.0662
FractionChange	Numerator	vrect_3		4		4/20/2017 10:31:20 AM	776.577
FractionChange	Numerator	vrect_3		3		4/20/2017 10:31:25 AM	782.0431
FractionChange	Numerator	vrect_3		2		4/20/2017 10:31:27 AM	783.7213
FractionChange	Numerator	vrect_3		1		4/20/2017 10:31:27 AM	784.2653
FractionChange	Numerator	vrect_3		0		4/20/2017 10:31:31 AM	787.9365
PressFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:31 AM	788.4974
ReleaseFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:32 AM	788.6886
PressFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:33 AM	790.3605
ReleaseFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:33 AM	790.5605
PressFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:42 AM	799.0258
ReleaseFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:42 AM	799.2648
ClickButton	OpenTaskDescription					4/20/2017 10:31:49 AM	805.9061
PressFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:56 AM	813.2653
ReleaseFraction	VRects	vrect_3		0/12	(1.125, -1)	4/20/2017 10:31:56 AM	813.4813
FractionChange	Denominator	vrect_3		11		4/20/2017 10:31:59 AM	815.6244
FractionChange	Denominator	vrect_3		10		4/20/2017 10:31:59 AM	815.8895
FractionChange	Denominator	vrect_3		9		4/20/2017 10:31:59 AM	816.2646
FractionChange	Denominator	vrect_3		8		4/20/2017 10:31:59 AM	816.5375
FractionChange	Denominator	vrect_3		7		4/20/2017 10:32:00 AM	816.8735
FractionChange	Denominator	vrect_3		6		4/20/2017 10:32:00 AM	817.1624
FractionChange	Denominator	vrect_3		5		4/20/2017 10:32:01 AM	817.6332
FractionChange	Denominator	vrect_3		4		4/20/2017 10:32:01 AM	818.2333
PressFraction	VRects	vrect_3		0/4	(1.125, -1)	4/20/2017 10:32:03 AM	819.6004
ReleaseFraction	VRects	vrect_3		0/4	(1.125, -1)	4/20/2017 10:32:03 AM	819.7865
FractionChange	Numerator	vrect_3		1		4/20/2017 10:32:04 AM	820.9536
FractionChange	Numerator	vrect_3		2		4/20/2017 10:32:04 AM	821.3676
FractionChange	Numerator	vrect_3		3		4/20/2017 10:32:05 AM	821.8086
Feedback	FeedbackPresented			当你改变分母但又要保证分数值不变的时候，你需要对分子做些什么？		4/20/2017 10:32:06 AM	822.9597
PressFraction	VRects	vrect_3		3/4	(1.125, -1)	4/20/2017 10:32:18 AM	834.608
ReleaseFraction	VRects	vrect_3		3/4	(0.1916666, -1.8)	4/20/2017 10:32:19 AM	835.6019
PressFraction	VRects	vrect_3		3/4	(0.1916666, -1.8)	4/20/2017 10:32:20 AM	837.049
FractionChange	Numerator	vrect_3		2		4/20/2017 10:32:20 AM	837.192
ReleaseFraction	VRects	vrect_3		2/4	(0.1916666, -1.8)	4/20/2017 10:32:20 AM	837.192
PressFraction	VRects	vrect_3		2/4	(0.1916666, -1.8)	4/20/2017 10:32:22 AM	839.3922
FractionChange	Numerator	vrect_3		3		4/20/2017 10:32:23 AM	839.5753
ReleaseFraction	VRects	vrect_3		3/4	(0.1916666, -1.8)	4/20/2017 10:32:23 AM	839.5753
ClickButton	Tool/FindEquivalence					4/20/2017 10:32:28 AM	845.0413
EquivalenceGenerated	VRect	vrect_3_eq1				4/20/2017 10:32:28 AM	845.0413
FractionChange	Numerator	vrect_3_eq1		3		4/20/2017 10:32:28 AM	845.0413
FractionChange	Denominator	vrect_3_eq1		4		4/20/2017 10:32:28 AM	845.0413
PressFraction	VRects	vrect_3_eq1		3/4	(0.1916666, 2.639912)	4/20/2017 10:32:33 AM	850.3456
ReleaseFraction	VRects	vrect_3_eq1		3/4	(-7.441667, 4.639912)	4/20/2017 10:32:35 AM	851.7835
PressFraction	VRects	vrect_3_eq1		3/4	(-7.441667, 4.639912)	4/20/2017 10:32:36 AM	852.8967
FractionChange	Partitions	vrect_3_eq1		2		4/20/2017 10:32:41 AM	858.5529
FractionChange	Partitions	vrect_3_eq1		3		4/20/2017 10:32:42 AM	859.1049
FractionChange	Partitions	vrect_3_eq1		4		4/20/2017 10:32:48 AM	865.401
FractionChange	Partitions	vrect_3_eq1		3		4/20/2017 10:32:50 AM	867.0799
PressFraction	VRects	vrect_3_eq1		9/12	(-7.441667, 4.639912)	4/20/2017 10:32:59 AM	875.7274
ReleaseFraction	VRects	vrect_3_eq1		9/12	(-6.608334, 4.839911)	4/20/2017 10:33:04 AM	880.7836
PressFraction	VRects	vrect_3_eq1		9/12	(-6.608334, 4.839911)	4/20/2017 10:33:13 AM	889.6638
ReleaseFraction	VRects	vrect_3_eq1		9/12	(-12.20833, 7.506578)	4/20/2017 10:33:22 AM	898.7662
PressFraction	VRects	vrect_3		3/4	(0.1916666, -1.8)	4/20/2017 10:33:24 AM	901.5353
ReleaseFraction	VRects	vrect_3		3/4	(0.1916666, -1.8)	4/20/2017 10:33:25 AM	901.6473
FractionChange	Denominator	vrect_3		5		4/20/2017 10:33:27 AM	903.8156
FractionChange	Denominator	vrect_3_eq1		15		4/20/2017 10:33:27 AM	903.8156
FractionChange	Denominator	vrect_3		6		4/20/2017 10:33:27 AM	904.2006
FractionChange	Denominator	vrect_3_eq1		18		4/20/2017 10:33:27 AM	904.2006
FractionChange	Denominator	vrect_3		7		4/20/2017 10:33:28 AM	905.5355
FractionChange	Denominator	vrect_3_eq1		21		4/20/2017 10:33:28 AM	905.5355
FractionChange	Denominator	vrect_3		8		4/20/2017 10:33:29 AM	905.8785
FractionChange	Denominator	vrect_3_eq1		24		4/20/2017 10:33:29 AM	905.8785
FractionChange	Denominator	vrect_3		9		4/20/2017 10:33:29 AM	906.1836
FractionChange	Denominator	vrect_3_eq1		27		4/20/2017 10:33:29 AM	906.1836
FractionChange	Denominator	vrect_3		10		4/20/2017 10:33:29 AM	906.5116
FractionChange	Denominator	vrect_3_eq1		30		4/20/2017 10:33:29 AM	906.5116
FractionChange	Denominator	vrect_3		11		4/20/2017 10:33:30 AM	906.9205
FractionChange	Denominator	vrect_3_eq1		33		4/20/2017 10:33:30 AM	906.9205
FractionChange	Denominator	vrect_3		12		4/20/2017 10:33:30 AM	907.3127
FractionChange	Denominator	vrect_3_eq1		36		4/20/2017 10:33:30 AM	907.3127
FractionChange	Denominator	vrect_3		13		4/20/2017 10:33:31 AM	908.0007
FractionChange	Denominator	vrect_3_eq1		39		4/20/2017 10:33:31 AM	908.0007
PressFraction	VRects	vrect_3		3/13	(0.1916666, -1.8)	4/20/2017 10:33:33 AM	909.7996
ReleaseFraction	VRects	vrect_3		3/13	(0.1916666, -1.8)	4/20/2017 10:33:33 AM	909.9916
PressFraction	VRects	vrect_3		3/13	(0.1916666, -1.8)	4/20/2017 10:33:35 AM	911.6058
ReleaseFraction	VRects	vrect_3		3/13	(0.1916666, -1.8)	4/20/2017 10:33:35 AM	911.7666
FractionChange	Denominator	vrect_3		12		4/20/2017 10:33:36 AM	912.6067
FractionChange	Denominator	vrect_3_eq1		36		4/20/2017 10:33:36 AM	912.6067
PressFraction	VRects	vrect_3		3/12	(0.1916666, -1.8)	4/20/2017 10:33:36 AM	913.2708
ReleaseFraction	VRects	vrect_3		3/12	(0.1916666, -1.8)	4/20/2017 10:33:36 AM	913.4618
