EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		31	6110c165e54fa28dc2c7073931e091fdc9c436d4	4/20/2017 10:17:13 AM		4/20/2017 10:18:53 AM	95.61484
ClickButton	Shape/VRects					4/20/2017 10:20:47 AM	210.5093
FractionGenerated	VRects	vrect_1				4/20/2017 10:20:47 AM	210.5093
PressFraction	VRects	vrect_1		0/0	(0.125, 0)	4/20/2017 10:20:50 AM	212.7648
ReleaseFraction	VRects	vrect_1		0/0	(0.125, 0)	4/20/2017 10:20:50 AM	212.8613
FractionChange	Denominator	vrect_1		1		4/20/2017 10:20:52 AM	214.6214
FractionChange	Denominator	vrect_1		1		4/20/2017 10:20:52 AM	215.5655
PressFraction	VRects	vrect_1		0/1	(0.125, 0)	4/20/2017 10:20:54 AM	216.6605
ReleaseFraction	VRects	vrect_1		0/1	(0.125, 0)	4/20/2017 10:20:54 AM	216.8205
PressFraction	VRects	vrect_1		0/1	(0.125, 0)	4/20/2017 10:20:55 AM	217.7326
FractionTrashed	VRects	vrect_1		0/1		4/20/2017 10:20:55 AM	218.5735
ReleaseFraction	VRects	vrect_1		0/1	(-10.33333, 7.6)	4/20/2017 10:20:55 AM	218.5735
ClickButton	Shape/VRects					4/20/2017 10:20:57 AM	220.1177
FractionGenerated	VRects	vrect_2				4/20/2017 10:20:57 AM	220.1177
FractionChange	Denominator	vrect_2		1		4/20/2017 10:21:12 AM	234.6442
FractionChange	Denominator	vrect_2		2		4/20/2017 10:21:12 AM	235.1092
FractionChange	Denominator	vrect_2		3		4/20/2017 10:21:12 AM	235.5173
FractionChange	Denominator	vrect_2		4		4/20/2017 10:21:13 AM	235.8534
FractionChange	Denominator	vrect_2		5		4/20/2017 10:21:13 AM	236.2044
FractionChange	Denominator	vrect_2		6		4/20/2017 10:21:17 AM	239.5965
PressFraction	VRects	vrect_2		0/6	(1.125, 0)	4/20/2017 10:21:19 AM	242.5416
ReleaseFraction	VRects	vrect_2		0/6	(1.125, 0)	4/20/2017 10:21:20 AM	242.6366
FractionChange	Numerator	vrect_2		1		4/20/2017 10:21:24 AM	246.6438
FractionChange	Numerator	vrect_2		2		4/20/2017 10:21:24 AM	247.0458
FractionChange	Numerator	vrect_2		3		4/20/2017 10:21:24 AM	247.4838
EndStateReached						4/20/2017 10:21:27 AM	250.486
PopupAfterTaskReflection						4/20/2017 10:21:50 AM	273.2209
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	一般	4/20/2017 10:22:04 AM		4/20/2017 10:22:04 AM	286.8766
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 10:22:13 AM		4/20/2017 10:22:13 AM	296.5
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 10:22:47 AM		4/20/2017 10:22:47 AM	330.0116
ClickButton	Shape/VRects					4/20/2017 10:25:06 AM	468.6399
FractionGenerated	VRects	vrect_3				4/20/2017 10:25:06 AM	468.6399
FractionChange	Denominator	vrect_3		1		4/20/2017 10:25:09 AM	472.521
FractionChange	Denominator	vrect_3		2		4/20/2017 10:25:19 AM	481.8805
FractionChange	Denominator	vrect_3		3		4/20/2017 10:25:19 AM	482.4825
FractionChange	Denominator	vrect_3		4		4/20/2017 10:25:20 AM	482.8486
FractionChange	Denominator	vrect_3		5		4/20/2017 10:25:20 AM	483.2416
FractionChange	Denominator	vrect_3		6		4/20/2017 10:25:21 AM	483.6237
PressFraction	VRects	vrect_3		0/6	(2.125, 0)	4/20/2017 10:25:21 AM	484.1197
ReleaseFraction	VRects	vrect_3		0/6	(2.125, 0)	4/20/2017 10:25:21 AM	484.2249
FractionChange	Numerator	vrect_3		1		4/20/2017 10:25:23 AM	486.3116
PressFraction	VRects	vrect_3		1/6	(2.125, 0)	4/20/2017 10:27:07 AM	590.2549
ReleaseFraction	VRects	vrect_3		1/6	(2.125, 0)	4/20/2017 10:27:07 AM	590.3919
FractionChange	Denominator	vrect_3		7		4/20/2017 10:27:08 AM	591.39
FractionChange	Denominator	vrect_3		8		4/20/2017 10:27:09 AM	591.6221
FractionChange	Denominator	vrect_3		9		4/20/2017 10:27:09 AM	591.91
FractionChange	Denominator	vrect_3		10		4/20/2017 10:27:09 AM	592.334
FractionChange	Denominator	vrect_3		11		4/20/2017 10:27:10 AM	592.64
FractionChange	Denominator	vrect_3		12		4/20/2017 10:27:10 AM	593.0881
FractionChange	Denominator	vrect_3		13		4/20/2017 10:27:11 AM	593.7521
FractionChange	Denominator	vrect_3		14		4/20/2017 10:27:11 AM	594.3591
FractionChange	Denominator	vrect_3		15		4/20/2017 10:27:12 AM	594.7681
FractionChange	Denominator	vrect_3		16		4/20/2017 10:27:12 AM	595.0711
FractionChange	Denominator	vrect_3		17		4/20/2017 10:27:12 AM	595.3591
