EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		26	9af8e4e760b5cc20cf8195fe22d9495af4cdc434	4/20/2017 1:50:47 PM		4/20/2017 1:51:27 PM	35.96664
ClickButton	Shape/VRects					4/20/2017 1:54:04 PM	193.4513
FractionGenerated	VRects	vrect_1				4/20/2017 1:54:04 PM	193.4513
FractionChange	Denominator	vrect_1		1		4/20/2017 1:54:07 PM	196.4747
FractionChange	Denominator	vrect_1		2		4/20/2017 1:54:17 PM	205.6498
FractionChange	Denominator	vrect_1		3		4/20/2017 1:54:17 PM	205.9548
FractionChange	Denominator	vrect_1		4		4/20/2017 1:54:17 PM	206.4517
FractionChange	Denominator	vrect_1		5		4/20/2017 1:54:18 PM	206.8029
FractionChange	Denominator	vrect_1		6		4/20/2017 1:54:18 PM	207.1299
FractionChange	Denominator	vrect_1		7		4/20/2017 1:54:18 PM	207.4918
FractionChange	Denominator	vrect_1		8		4/20/2017 1:54:19 PM	207.9379
FractionChange	Denominator	vrect_1		9		4/20/2017 1:54:19 PM	208.33
FractionChange	Denominator	vrect_1		8		4/20/2017 1:54:21 PM	209.7135
PressFraction	VRects	vrect_1		0/8	(1.125, 1)	4/20/2017 1:54:37 PM	225.9797
ReleaseFraction	VRects	vrect_1		0/8	(1.125, 1)	4/20/2017 1:54:37 PM	226.1066
FractionChange	Numerator	vrect_1		1		4/20/2017 1:54:41 PM	230.209
FractionChange	Numerator	vrect_1		2		4/20/2017 1:54:42 PM	230.5309
FractionChange	Numerator	vrect_1		3		4/20/2017 1:54:42 PM	230.8589
FractionChange	Numerator	vrect_1		4		4/20/2017 1:54:42 PM	231.2669
EndStateReached						4/20/2017 1:54:45 PM	234.268
PopupAfterTaskReflection						4/20/2017 1:55:11 PM	259.6982
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 1:55:56 PM		4/20/2017 1:55:56 PM	305.3396
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 1:56:04 PM		4/20/2017 1:56:04 PM	312.6019
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 1:56:20 PM		4/20/2017 1:56:20 PM	328.8026
ClickButton	OpenTaskDescription					4/20/2017 1:58:12 PM	441.0317
ClickButton	Shape/HRects					4/20/2017 2:00:52 PM	600.8134
FractionGenerated	HRects	hrect_2				4/20/2017 2:00:52 PM	600.8134
FractionChange	Denominator	hrect_2		1		4/20/2017 2:00:54 PM	602.9498
FractionChange	Denominator	hrect_2		2		4/20/2017 2:00:54 PM	603.1254
FractionChange	Denominator	hrect_2		3		4/20/2017 2:00:54 PM	603.3276
FractionChange	Denominator	hrect_2		4		4/20/2017 2:00:55 PM	603.5095
FractionChange	Denominator	hrect_2		5		4/20/2017 2:00:55 PM	603.7174
FractionChange	Denominator	hrect_2		6		4/20/2017 2:00:55 PM	603.9096
FractionChange	Denominator	hrect_2		7		4/20/2017 2:00:55 PM	604.2375
FractionChange	Denominator	hrect_2		8		4/20/2017 2:00:55 PM	604.4316
FractionChange	Denominator	hrect_2		9		4/20/2017 2:00:56 PM	604.6236
FractionChange	Denominator	hrect_2		10		4/20/2017 2:00:57 PM	605.9825
FractionChange	Denominator	hrect_2		11		4/20/2017 2:00:58 PM	606.8625
FractionChange	Denominator	hrect_2		12		4/20/2017 2:00:58 PM	607.4307
FractionChange	Denominator	hrect_2		13		4/20/2017 2:00:59 PM	608.0696
FractionChange	Denominator	hrect_2		14		4/20/2017 2:01:00 PM	608.6376
FractionChange	Denominator	hrect_2		15		4/20/2017 2:01:00 PM	609.1817
FractionChange	Denominator	hrect_2		16		4/20/2017 2:01:01 PM	609.7117
FractionChange	Denominator	hrect_2		17		4/20/2017 2:01:01 PM	610.3499
FractionChange	Denominator	hrect_2		18		4/20/2017 2:01:02 PM	610.8787
PressFraction	HRects	hrect_2		0/18	(1.125, 0)	4/20/2017 2:01:03 PM	612.3915
ReleaseFraction	HRects	hrect_2		0/18	(1.125, 0)	4/20/2017 2:01:03 PM	612.486
FractionChange	Numerator	hrect_2		1		4/20/2017 2:01:04 PM	613.3279
FractionChange	Numerator	hrect_2		2		4/20/2017 2:01:05 PM	613.6469
FractionChange	Numerator	hrect_2		3		4/20/2017 2:01:05 PM	614.006
EndStateReached						4/20/2017 2:01:08 PM	617.008
PopupAfterTaskReflection						4/20/2017 2:01:13 PM	621.5825
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:01:46 PM		4/20/2017 2:01:46 PM	654.983
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:01:56 PM		4/20/2017 2:01:56 PM	664.8312
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:02:07 PM		4/20/2017 2:02:07 PM	675.808
ClickButton	Set/Stars					4/20/2017 2:02:57 PM	725.5806
FractionGenerated	StarSets	starset_3				4/20/2017 2:02:57 PM	725.5806
FractionChange	Denominator	starset_3		1		4/20/2017 2:03:09 PM	738.1016
FractionChange	Denominator	starset_3		2		4/20/2017 2:03:10 PM	738.8928
