EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		30	c01c80095301fc4fb40692524c5bcae0cb4f7286	4/20/2017 1:50:39 PM		4/20/2017 1:51:18 PM	35.17557
ClickButton	Set/Hearts					4/20/2017 1:53:48 PM	185.4933
FractionGenerated	HeartSets	heartset_1				4/20/2017 1:53:48 PM	185.4933
FractionChange	Denominator	heartset_1		1		4/20/2017 1:54:06 PM	203.4338
FractionChange	Denominator	heartset_1		2		4/20/2017 1:54:08 PM	205.3031
FractionChange	Denominator	heartset_1		3		4/20/2017 1:54:09 PM	205.917
FractionChange	Denominator	heartset_1		4		4/20/2017 1:54:09 PM	206.1991
FractionChange	Denominator	heartset_1		5		4/20/2017 1:54:09 PM	206.583
FractionChange	Denominator	heartset_1		6		4/20/2017 1:54:10 PM	206.8952
FractionChange	Denominator	heartset_1		7		4/20/2017 1:54:10 PM	207.3271
FractionChange	Denominator	heartset_1		8		4/20/2017 1:54:10 PM	207.5973
FractionChange	Denominator	heartset_1		9		4/20/2017 1:54:11 PM	207.95
FractionChange	Denominator	heartset_1		8		4/20/2017 1:54:12 PM	209.6213
PressFraction	HeartSets	heartset_1		0/8	(0.28125, 0)	4/20/2017 1:54:13 PM	210.4284
ReleaseFraction	HeartSets	heartset_1		0/8	(0.28125, 0)	4/20/2017 1:54:13 PM	210.5495
FractionChange	Numerator	heartset_1		1		4/20/2017 1:54:31 PM	228.1882
FractionChange	Numerator	heartset_1		2		4/20/2017 1:54:31 PM	228.4531
FractionChange	Numerator	heartset_1		3		4/20/2017 1:54:31 PM	228.7722
FractionChange	Numerator	heartset_1		4		4/20/2017 1:54:32 PM	229.1653
EndStateReached						4/20/2017 1:54:35 PM	232.1662
PopupAfterTaskReflection						4/20/2017 1:55:03 PM	260.6133
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 1:55:29 PM		4/20/2017 1:55:29 PM	286.4377
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 1:55:53 PM		4/20/2017 1:55:53 PM	309.8354
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	一般	4/20/2017 1:55:56 PM		4/20/2017 1:55:56 PM	313.3016
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 1:55:57 PM		4/20/2017 1:55:57 PM	313.9548
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 1:56:11 PM		4/20/2017 1:56:11 PM	328.6532
ClickButton	Set/Moons					4/20/2017 1:57:54 PM	430.8105
