EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		8	60e536cb9ca0da27026c70b78699b53188a96f09	4/20/2017 1:58:37 PM		4/20/2017 1:58:46 PM	7.787768
TaskChange_warningMessage	ClickForward			1		4/20/2017 1:58:51 PM	12.4321
ClickButton	Set/Hearts					4/20/2017 1:59:00 PM	21.83809
FractionGenerated	HeartSets	heartset_1				4/20/2017 1:59:00 PM	21.83809
FractionChange	Denominator	heartset_1		1		4/20/2017 1:59:02 PM	23.65416
FractionChange	Denominator	heartset_1		2		4/20/2017 1:59:02 PM	23.82234
FractionChange	Denominator	heartset_1		3		4/20/2017 1:59:04 PM	25.40825
FractionChange	Denominator	heartset_1		4		4/20/2017 1:59:06 PM	27.69633
PressFraction	HeartSets	heartset_1		0/4	(0.28125, 0)	4/20/2017 1:59:07 PM	29.06339
ReleaseFraction	HeartSets	heartset_1		0/4	(0.28125, 0)	4/20/2017 1:59:07 PM	29.2398
FractionChange	Numerator	heartset_1		1		4/20/2017 1:59:20 PM	41.88577
FractionChange	Numerator	heartset_1		2		4/20/2017 1:59:21 PM	42.5738
EndStateReached						4/20/2017 1:59:24 PM	45.57486
PopupAfterTaskReflection						4/20/2017 1:59:30 PM	51.88709
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 1:59:32 PM		4/20/2017 1:59:32 PM	53.65631
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 1:59:35 PM		4/20/2017 1:59:35 PM	56.7593
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 1:59:36 PM		4/20/2017 1:59:36 PM	58.27919
ClickButton	LiquidMeasures					4/20/2017 2:00:19 PM	100.9816
FractionGenerated	LiquidMeasures	liquid_2				4/20/2017 2:00:19 PM	100.9816
FractionChange	Denominator	liquid_2		1		4/20/2017 2:00:22 PM	104.0697
FractionChange	Denominator	liquid_2		2		4/20/2017 2:00:22 PM	104.2617
FractionChange	Denominator	liquid_2		3		4/20/2017 2:00:23 PM	104.4297
FractionChange	Denominator	liquid_2		4		4/20/2017 2:00:23 PM	104.6138
FractionChange	Denominator	liquid_2		5		4/20/2017 2:00:23 PM	104.7987
FractionChange	Denominator	liquid_2		6		4/20/2017 2:00:23 PM	105.1408
FractionChange	Denominator	liquid_2		7		4/20/2017 2:00:24 PM	105.35
FractionChange	Denominator	liquid_2		8		4/20/2017 2:00:24 PM	105.7248
FractionChange	Denominator	liquid_2		9		4/20/2017 2:00:24 PM	105.9328
FractionChange	Denominator	liquid_2		10		4/20/2017 2:00:24 PM	106.1668
FractionChange	Denominator	liquid_2		11		4/20/2017 2:00:25 PM	106.676
FractionChange	Denominator	liquid_2		12		4/20/2017 2:00:25 PM	107.1251
FractionChange	Denominator	liquid_2		13		4/20/2017 2:00:25 PM	107.3081
FractionChange	Denominator	liquid_2		14		4/20/2017 2:00:26 PM	107.5169
FractionChange	Denominator	liquid_2		15		4/20/2017 2:00:26 PM	107.8761
FractionChange	Denominator	liquid_2		16		4/20/2017 2:00:26 PM	108.1326
FractionChange	Denominator	liquid_2		17		4/20/2017 2:00:27 PM	108.5481
FractionChange	Denominator	liquid_2		18		4/20/2017 2:00:27 PM	109.0442
PressFraction	LiquidMeasures	liquid_2		0/18	(-0.0625, 0)	4/20/2017 2:00:30 PM	111.5242
ReleaseFraction	LiquidMeasures	liquid_2		0/18	(-0.0625, 0)	4/20/2017 2:00:30 PM	111.662
FractionChange	Numerator	liquid_2		1		4/20/2017 2:00:34 PM	116.2934
FractionChange	Numerator	liquid_2		2		4/20/2017 2:00:35 PM	116.7104
FractionChange	Numerator	liquid_2		3		4/20/2017 2:00:35 PM	117.0783
EndStateReached						4/20/2017 2:00:38 PM	120.0803
PopupAfterTaskReflection						4/20/2017 2:00:44 PM	125.5976
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:00:48 PM		4/20/2017 2:00:48 PM	130.2999
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:00:52 PM		4/20/2017 2:00:52 PM	134.1818
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:00:53 PM		4/20/2017 2:00:53 PM	135.2209
ClickButton	LiquidMeasures					4/20/2017 2:02:47 PM	248.8414
FractionGenerated	LiquidMeasures	liquid_3				4/20/2017 2:02:47 PM	248.8414
FractionChange	Denominator	liquid_3		1		4/20/2017 2:02:49 PM	250.5785
FractionChange	Denominator	liquid_3		2		4/20/2017 2:02:49 PM	250.7469
FractionChange	Denominator	liquid_3		3		4/20/2017 2:02:49 PM	250.921
FractionChange	Denominator	liquid_3		4		4/20/2017 2:02:49 PM	251.0974
FractionChange	Denominator	liquid_3		5		4/20/2017 2:02:49 PM	251.2985
FractionChange	Denominator	liquid_3		6		4/20/2017 2:02:50 PM	251.4665
FractionChange	Denominator	liquid_3		7		4/20/2017 2:02:50 PM	251.6406
FractionChange	Denominator	liquid_3		8		4/20/2017 2:02:50 PM	251.8885
FractionChange	Denominator	liquid_3		9		4/20/2017 2:02:50 PM	252.0655
FractionChange	Denominator	liquid_3		10		4/20/2017 2:02:50 PM	252.2737
FractionChange	Denominator	liquid_3		11		4/20/2017 2:02:51 PM	252.4726
FractionChange	Denominator	liquid_3		12		4/20/2017 2:02:51 PM	252.6826
PressFraction	LiquidMeasures	liquid_3		0/12	(1.9375, 0)	4/20/2017 2:02:52 PM	253.4746
ReleaseFraction	LiquidMeasures	liquid_3		0/12	(1.9375, 0)	4/20/2017 2:02:52 PM	253.6246
FractionChange	Numerator	liquid_3		1		4/20/2017 2:02:53 PM	255.2897
FractionChange	Numerator	liquid_3		2		4/20/2017 2:02:54 PM	255.4897
FractionChange	Numerator	liquid_3		3		4/20/2017 2:02:54 PM	255.6647
FractionChange	Numerator	liquid_3		4		4/20/2017 2:02:54 PM	255.8257
FractionChange	Numerator	liquid_3		3		4/20/2017 2:02:56 PM	257.4744
PressFraction	LiquidMeasures	liquid_3		3/12	(1.9375, 0)	4/20/2017 2:03:00 PM	261.7289
FractionChange	Numerator	liquid_3		2		4/20/2017 2:03:00 PM	261.9301
ReleaseFraction	LiquidMeasures	liquid_3		2/12	(1.9375, 0)	4/20/2017 2:03:00 PM	261.9301
PressFraction	LiquidMeasures	liquid_3		2/12	(1.9375, 0)	4/20/2017 2:03:02 PM	263.857
FractionChange	Numerator	liquid_3		3		4/20/2017 2:03:02 PM	264.05
ReleaseFraction	LiquidMeasures	liquid_3		3/12	(1.9375, 0)	4/20/2017 2:03:02 PM	264.05
ClickButton	Tool/ChangeColour					4/20/2017 2:03:11 PM	272.3934
ClickButton	Tool/ChangeColour					4/20/2017 2:03:13 PM	275.2823
SecActionFraction	LiquidMeasures	liquid_3		3/12	(1.9375, 0)	4/20/2017 2:03:16 PM	277.8244
