Id,Label,Cat,Note
the learning sciences,the learning sciences,discipline,
education,education,discipline,
educational technology,educational technology,discipline,
Jingjing Zhang,Jingjing Zhang,Acadmic,
Wang Xuan,"Van Horne,Katie",Acemics,
Niu Niu,"Van Horne,Katie",Acemics,

Marlene Scardamalia,Marlene Scardamalia,Academic,
Poy D.Pea,Poy D.Pea,Academic,
Janet L.Kolodner,Janet L.Kolodner,Academic,
Roger C.Schank,Roger C.Schank, Academic,
Ray Bareiss,Ray Bareiss,Academic,
Eli Blevis,Eli Blevis,Academic,
P.J.Feltovich,P.J.Feltovich,Academic,
Carl Bereiter,Carl Bereiter,Academic
Richard Beckwith,Richard Beckwith,Academic,
Robin Burke,Robin Burke,Academic,
Mathematics,Mathematics,discpline,
cognitive psychology,cognitive psychology,discpline,
cognitive science,cognitive science,discpline,
education,education,discpline,
educational policy,educational policy,discpline,
educational technology,educational technology,discpline,
educational reform,educational reform,discpline,
developmental psychology,developmental psychology,discpline,
research psychology,research psychology,discpline,
philosophy and psychology,philosophy and psychology,discpline,
computer science,computer science,discpline,
computing and information science,computing and information science,discpline,
computer-based learning environment,computer-based learning environment,discpline,
computer supported collaborative learning,computer supported collaborative learning,discpline
human computer interaction design,human computer interaction design,discpline,
human centered computing,human centered computing,discpline,
learning science,learning science,discpline,
data analysis,data analysis,discpline,
communication technologie,communication technologie,discpline,
linguistics,linguistics,discpline,
agriculture,agriculture,discpline,

