Source,Target,Type,Year,code
P.J.Feltovich,Mathematics,Undirected,1994,20
P.J.Feltovich,Mathematics,Undirected,1994,00
P.J.Feltovich,Educational Technology,Undirected,1994,20
P.J.Feltovich,Cognitive Science,Undirected,1994,30
Marlene Scardamalia,English,Undirected,1994,00
Marlene Scardamalia,Educational Research-Educational Psychology,Undirected,1994,10
Marlene Scardamalia,Applied Psychology,Undirected,1994,20
Carl Bereiter,Comparative Literature,Undirected,1994,0
Carl Bereiter,Comparative Literature,Undirected,1994,10
Carl Bereiter,Education,Undirected,1994,20
Roy D. Pea,Philosophy and Psychology,Undirected,1994,00
Roy D. Pea,Developmental Psychology,Undirected,1994,20
Roy D. Pea,Education and Learning Sciences,Undirected,1994,30
Janet L. Kolodner,math and computer science,Undirected,1994,00
Janet L. Kolodner,computer science,Undirected,1994,10
Janet L. Kolodner,computer science,Undirected,1994,20
Roger C. Schank,Linguistics,Undirected,1994,20
Menachem Y. Jona,Computer Science,Undirected,1994,00
Menachem Y. Jona,Psychology,Undirected,1994,00
Menachem Y. Jona,Computer Science,Undirected,1994,20
Benjamin Bell,artificial intelligence,Undirected,1994,30
Ray Bareiss,Computer Science,Undirected,1994,20
Ray Bareiss,science in communication,Undirected,1994,00
Richard Beckwith,Cognitive Science,Undirected,1994,30
Richard Beckwith,Learning Sciences,Undirected,1994,30
Alex Kass,Computer Science,Undirected,1994,00
Alex Kass,Computer Science,Undirected,1994,20
Robin Burke,Computer Science,Undirected,1994,00
Robin Burke,Computer Science,Undirected,1994,10
Robin Burke,Computer Science,Undirected,1994,20
Eli Blevis,Computing and Information Science,Undirected,1994,20
Eli Blevis,Human Computer Interacton Design,Undirected,1994,30
Eli Blevis,Human Centered Computing,Undirected,1994,30
