source,target,type,year,code
Jolie Christine Matthews,Concentration in Ancient,Undirected,2016,00
Jolie Christine Matthews,Medieval and Renaissance Studies,Undirected,2016,00
Jolie Christine Matthews,Professional Writing,Undirected,2016,10
Jolie Christine Matthews,Learning Sciences and Technology Design,Undirected,2016,20
Jolie Christine Matthews,Learning Science,Undirected,2016,30
Mona Sakr,Biochemistry,Undirected,2016,00
Mona Sakr,Biochemistry,Undirected,2016,20
Mona Sakr,Education and Early Childhood,Undirected,2016,30
Carey Jewitt,Fine Art and Media,Undirected,2016,00
Carey Jewitt,Social Research Methods,Undirected,2016,10
Carey Jewitt,Learning and Technology,Undirected,2016,30
Sara Price,Psychology,Undirected,2016,00
Sara Price,Psychology,Undirected,2016,20
Sara Price,Digital Learning,Undirected,2016,30
Sara Price,"Culture, Communication and Media",Undirected,2016,30
Teresa Sosa,Writing,Undirected,2016,00
Teresa Sosa,Curriculum and Instruction,Undirected,2016,10
Teresa Sosa,Curriculum and Instruction,Undirected,2016,20
Teresa Sosa,"Literacy, Culture and Language Education",Undirected,2016,30
Allison H. Hall,"Slavic Languages, Literatures, and Linguistics",Undirected,2016,00
Allison H. Hall,"Russian,Central European, East European and Eurasian Studies",Undirected,2016,10
Allison H. Hall,Teaching English as a Second or Forengn Language/ESL Language,Undirected,2016,10
Allison H. Hall,Learning Sciences,Undirected,2016,20
Allison H. Hall,Learning Sciences,Undirected,2016,30
Susan R. Goldman,Psychology,Undirected,2016,00
Susan R. Goldman,Psychology,Undirected,2016,10
Susan R. Goldman,Psychology,Undirected,2016,20
Susan R. Goldman,Curriculum and Instruction,Undirected,2016,30
Carol D. Lee,The Teaching of Secondary School English,Undirected,2016,00
Carol D. Lee,English,Undirected,2016,10
Carol D. Lee,Curriculum and Instruction,Undirected,2016,20
Carol D. Lee,Education and Social Policy,Undirected,2016,30
Carol D. Lee,Learning Sciences ,Undirected,2016,30
Carol D. Lee,African American Studies ,Undirected,2016,30
D. Kevin O' Neill,Computing Science and Great Books,Undirected,2016,00
D. Kevin O' Neill,Learning Sciences?,Undirected,2016,20
D. Kevin O' Neill,Education,Undirected,2016,30
Lama Z. Jaber,Chemistry,Undirected,2016,00
Lama Z. Jaber,Science Education,Undirected,2016,10
Lama Z. Jaber,Science Education,Undirected,2016,20
Lama Z. Jaber,Science Education,Undirected,2016,30
David Hammer,Physics,Undirected,2016,00
David Hammer,Applied Physics,Undirected,2016,20
David Hammer,Electrical and Computer Engineering,Undirected,2016,30
Dor Abrahamson,Performing Arts,Undirected,2016,00
Dor Abrahamson,Cognitive Psychology,Undirected,2016,10
Dor Abrahamson,Learning Sciences,Undirected,2016,20
