source,target,type,year,make
Janet L. Kolodner,Mathematics,Undirected,2000,00
Janet L. Kolodner,Computer Science,Undirected,2000,10
Janet L. Kolodner,Computer Science,Undirected,2000,20
Janet L. Kolodner,Learning Sciences,Undirected,2000,30
John Bransford,Psychology ,Undirected,2000,00
John Bransford,Psychology ,Undirected,2000,20
John Bransford,Educational Technology,Undirected,2000,30
Mitchel Resnick,Physics,Undirected,2000,00
Mitchel Resnick,Computer Science,Undirected,2000,10
Mitchel Resnick,Computer Science,Undirected,2000,20
Mitchel Resnick,Educational Technology,Undirected,2000,30
Robbie Berg ,Physics,Undirected,2000,30
Michael Eisenberg,Chemistry,Undirected,2000,00
Michael Eisenberg,Computer Science,Undirected,2000,10
Michael Eisenberg,Computer Science,Undirected,2000,20
Michael Eisenberg,Computer Science,Undirected,2000,30
Michael Eisenberg,Cognitive Science,Undirected,2000,30
Andrew Izsak,Mathematics,Undirected,2000,00
Andrew Izsak,Mathematics,Undirected,2000,10
Andrew Izsak,General Education,Undirected,2000,10
Andrew Izsak,Science Education,Undirected,2000,20
Andrew Izsak,Mathematics Education,Undirected,2000,20
Andrew Izsak,Education,Undirected,2000,30
Raven McCrory Wallace,Mathematics,Undirected,2000,00
Raven McCrory Wallace,Mathematics,Undirected,2000,10
Raven McCrory Wallace,Engineering,Undirected,2000,10
Raven McCrory Wallace,Education,Undirected,2000,20
Raven McCrory Wallace,Mathematics Education,Undirected,2000,30
Jeff Kupperman,East Asian Languages and Civilizations,Undirected,2000,00
Jeff Kupperman,Educational Technology,Undirected,2000,10
Jeff Kupperman,Educational Technology,Undirected,2000,20
Jeff Kupperman,Educational Technology,Undirected,2000,30
Joseph Krajcik,Communication and Philosophy,Undirected,2000,00
Joseph Krajcik,Chemistry,Undirected,2000,00
Joseph Krajcik,Science Education,Undirected,2000,10
Joseph Krajcik,Science Education,Undirected,2000,20
Joseph Krajcik,Science Education,Undirected,2000,30
Elliot Soloway,Computer Science,Undirected,2000,20
Elliot Soloway,Educational Technology,Undirected,2000,30
Elliot Soloway,Engineering,Undirected,2000,30
Elliot Soloway,Information,Undirected,2000,30
Robert Kozma,Engineering,Undirected,2000,10
Robert Kozma,Mathematics ,Undirected,2000,10
Robert Kozma,Physics,Undirected,2000,20
Robert Kozma,Mathematics,Undirected,2000,30
Joel Russell,Physical Chemistry,Undirected,2000,00
Nancy Marx,Psychology,Undirected,2000,00
Michael J. Jacobson ,Applied Music,Undirected,2000,00
Michael J. Jacobson ,Applied Music,Undirected,2000,10
Michael J. Jacobson ,Educational Technology,Undirected,2000,20
Michael J. Jacobson ,Cognitive Science,Undirected,2000,20
Michael J. Jacobson ,Education,Undirected,2000,30
Anthi Archodidou,Psychology,Undirected,2000,20
Timothy Koschmann,Philosophy,Undirected,2000,00
Timothy Koschmann,Psychology,Undirected,2000,10
Timothy Koschmann,Computer Science,Undirected,2000,20
Timothy Koschmann,Medical Education,Undirected,2000,30
Carl Bereiter,Comparative Literature,Undirected,2000,00
Carl Bereiter,Comparative Literature,Undirected,2000,10
Carl Bereiter,Education,Undirected,2000,20
Carl Bereiter,Education,Undirected,2000,30
Linnda R. Caporael,Biology,Undirected,2000,00
Linnda R. Caporael,Human Ethology,Undirected,2000,20
Linnda R. Caporael,Psychology,Undirected,2000,20
Linnda R. Caporael,Psychology,Undirected,2000,30
Eric Bredo,Philosophy of Education,Undirected,2000,30
D. W. Randall,Sociology,Undirected,2000,30
Wendy C. Newstetter,Linguistics,Undirected,2000,10
Wendy C. Newstetter,Linguistics,Undirected,2000,20
Wendy C. Newstetter,Biomedical Engineering,Undirected,2000,30
Cindy E. Hmelo,Cardiorespiratory Sciences ,Undirected,2000,00
Cindy E. Hmelo,Educational Computing,Undirected,2000,10
Cindy E. Hmelo,Educational Technology,Undirected,2000,10
Cindy E. Hmelo,Psychology,Undirected,2000,20
Cindy E. Hmelo,Educational Technology,Undirected,2000,30
Douglas L. Holton,Psychology,Undirected,2000,00
Douglas L. Holton,Educational Technology,Undirected,2000,10
Douglas L. Holton,Science Education,Undirected,2000,20
Douglas L. Holton,Engineering Education,Undirected,2000,30
Philip M. Sadler ,Physics,Undirected,2000,00
Philip M. Sadler ,Education,Undirected,2000,20
Philip M. Sadler ,Science Education,Undirected,2000,30
Harold P. Coyle,Earth Science,Undirected,2000,00
