Source,Target,Type,year,code
Janet L. Kolodner,math,undirected,1991,0
Janet L. Kolodner,computer science,undirected,1991,0
Janet L. Kolodner,computer science,undirected,1991,10
Janet L. Kolodner,computer science,undirected,1991,20
Janet L. Kolodner,Learning Sciences,Undirected,1991,30
Janet L. Kolodner,Cyberlearning,undirected,1991,30
Janet L. Kolodner,Computing and Cognitive Science,undirected,1991,30
Roger C. Schank,mathematics,undirected,1991,0
Roger C. Schank,linguistics,undirected,1991,20
Roger C. Schank,computer science?and?psychology,undirected,1991,30
Roger C. Schank,Artificial Intelligence,undirected,1991,31
Roger C. Schank,Learning Sciences,undirected,1991,32
Roger C. Schank,educational software,undirected,1991,33
Menachem Y. Jona,Computer Science & Psychology,undirected,1991,0
Menachem Y. Jona,Computer Science,undirected,1991,10
Menachem Y. Jona,Philosophy in Computer Science,undirected,1991,20
Menachem Y. Jona,web-based patient education and outreach,undirected,1991,30
Menachem Y. Jona,"online and blended learning models,",Undirected,1991,30
Menachem Y. Jona,cyberlearning,undirected,1991,30
Menachem Y. Jona,Computer Science,undirected,1991,30
Menachem Y. Jona,Learning Sciences,undirected,1991,30
Marlene Scardamalia,Cognitive development,undirected,1991,30
Marlene Scardamalia,Educational uses of computers,undirected,1991,30
Marlene Scardamalia,Intentional learning,undirected,1991,30
Marlene Scardamalia,The nature of expertise,undirected,1991,30
Marlene Scardamalia,Psychology of writing,undirected,1991,30
Marlene Scardamalia,Research-based innovation in learning and?knowledge work,undirected,1991,30
Marlene Scardamalia,Knowledge innovation,undirected,1991,30
Marlene Scardamalia,computer-supported collaborative learning.,undirected,1991,30
Menachem Y. Jona,STEM curriculum design,undirected,1991,30
Marlene Scardamalia,English,undirected,1991,0
Marlene Scardamalia,Educational Research-Educational Psychology,undirected,1991,10
Marlene Scardamalia,Applied Psychology,undirected,1991,20
Carl Bereiter,Knowledge building,Undirected,1991,30
Carl Bereiter,Knowledge age,undirected,1991,30
Carl Bereiter,Computer supported collaborative learning (CSCL),undirected,1991,30
Carl Bereiter,Knowledge workers,undirected,1991,30
Carl Bereiter,Research design,undirected,1991,30
Carl Bereiter,Intentional learning,undirected,1991,30
Carl Bereiter,Instruction,undirected,1991,30
Carl Bereiter,Cognitive psychology,undirected,1991,30
Carl Bereiter,Educational policy,undirected,1991,30
Carl Bereiter,Comparative Literature,undirected,1991,0
Carl Bereiter,Comparative Literature,undirected,1991,10
Carl Bereiter,Education,undirected,1991,20
Michelene T.H. Chi ,Science and Engineering Education,undirected,1991,30
Michelene T.H. Chi ,Learning Sciences,Undirected,1991,30
Michelene T.H. Chi ,Learning and Instruction,undirected,1991,30
Michelene T.H. Chi ,cognitive science,undirected,1991,30
Kurt A. VanLehn,Mathematics,undirected,1991,10
Kurt A. VanLehn,Computer Science,undirected,1991,20
Kurt A. VanLehn,Learning science,undirected,1991,30
Kurt A. VanLehn,Cognitive science,undirected,1991,30
Kurt A. VanLehn,Educational data mining,undirected,1991,30
Kurt A. VanLehn,?Intelligent tutoring systems,undirected,1991,30
Kristian J. Hammond ,Philosophy,undirected,1991,0
Kristian J. Hammond ,Computer Science,undirected,1991,20
Kristian J. Hammond ,Computer Science,undirected,1991,10
Kristian J. Hammond ,Artificial intelligence,undirected,1991,30
Kristian J. Hammond ,Natural language generation,undirected,1991,30
Kristian J. Hammond ,Narrative Generation,undirected,1991,30
Kristian J. Hammond ,Conversational Interfaces,undirected,1991,30
Kristian J. Hammond ,The Future of Work,Undirected,1991,30
Kristian J. Hammond ,Robots and Jobs,undirected,1991,30
Kristian J. Hammond ,Machine Learning,undirected,1991,30
Kristian J. Hammond ,Computers and the law,undirected,1991,30
Kristian J. Hammond ,Computers and education,undirected,1991,30
Kristian J. Hammond ,Computers and Journalism,undirected,1991,30
Kristian J. Hammond ,Ethics and Robots,undirected,1991,30
Kristian J. Hammond ,Ethics and Artificial Intelligence,undirected,1991,30
Kristian J. Hammond ,Computational Creativity,undirected,1991,30
Colleen M. Seifert,The Learning Science,undirected,1991,30
Colleen M. Seifert,Psychology,undirected,1991,20
Colleen M. Seifert,Psychology,undirected,1991,0
Colleen M. Seifert,Cognitive Science,undirected,1991,30
Kenneth C. Gray,Economics,Undirected,1991,0
Kenneth C. Gray,Counselling Psychology,undirected,1991,10
Kenneth C. Gray,Vocational and Technical Education,undirected,1991,20
Michael Pazzani,Computer Science,undirected,1991,0
Michael Pazzani,Computer Science,undirected,1991,10
Michael Pazzani,Computer Science,undirected,1991,20
Michael Pazzani,Artificial Intelliegence,undirected,1991,30
Leona Schauble,Developmental Psychology,undirected,1991,10
Leona Schauble,Developmental and Educational Psychology,undirected,1991,20
Leona Schauble,model-based reasoning,undirected,1991,30
Leona Schauble,Science and mathematics education,undirected,1991,30
Leona Schauble,the professional development of STEM educators,undirected,1991,30
Leona Schauble,learning in out of school contexts,undirected,1991,30
Robert Glaser ,Chemistry,undirected,1991,0
Robert Glaser ,polymer chemistry.,undirected,1991,10
Robert Glaser ,Bio-organic Chemistry,undirected,1991,20
Kalyani Raghavan ,Medical,undirected,1991,0
Kalyani Raghavan ,Medical,undirected,1991,10
Kalyani Raghavan ,Medical,undirected,1991,20
Kalyani Raghavan ,Sedation Services,undirected,1991,30
Kalyani Raghavan ,Pain Medicine,Undirected,1991,30
Miriam Reiner,chemistry,undirected,1991,0
Miriam Reiner,biochemistry,undirected,1991,10
Miriam Reiner,biochemistry,undirected,1991,20
Miriam Reiner,clinical chemist,undirected,1991,30
Ashwin Ram,electrical engineering,Undirected,1991,0
Ashwin Ram,computer science,undirected,1991,10
Ashwin Ram,Artificial Intelligence,undirected,1991,30
Ashwin Ram,"Machine Learning,",undirected,1991,30
Ashwin Ram,Natural Language Procession,undirected,1991,30
Ashwin Ram,Cognitive Science,undirected,1991,30
Mark H. Burstein,Mathematics,Undirected,1991,0
Mark H. Burstein,Computer Science,Undirected,1991,10
Allan Collins,?Psychology,Undirected,1991,0
Allan Collins,?Psychology,Undirected,1991,10
Allan Collins,Education and Social Policy,Undirected,1991,
Allan Collins,Communication Engineering,Undirected,1991,
Richard Alterman ,Computer-supported communication,Undirected,1991,30
Richard Alterman ,"cooperation, and collaboration",Undirected,1991,30
Richard Alterman ,Learning and technology,Undirected,1991,30
Richard Alterman ,Cognitive engineering and modeling,Undirected,1991,30
Richard Alterman ,Human Computer Interaction,Undirected,1991,30
Richard Alterman ,Communication and discourse,Undirected,1991,30
Richard Alterman ,Internet & Society,Undirected,1991,30
Richard Alterman ,Computer science,Undirected,1991,30
Richard Alterman ,artificial intelligence,Undirected,1991,30
Roland Zito-Wolf,Computer Science,Undirected,1991,10
Roland Zito-Wolf,Electrical Engineering,Undirected,1991,0
Tamitha Carpenter,Computer Science,Undirected,1991,0
Tamitha Carpenter,?Artificial Intelligence,Undirected,1991,20
Tamitha Carpenter,software engineering,Undirected,1991,30
