source,target,type,year,code
Iris Tabak,Computer Engineering,Undirected,2015,00
Iris Tabak,Learning Sciences,Undirected,2015,20
Iris Tabak,Education,Undirected,2015,30
Josh Radinsky,Comparative History,Undirected,2015,00
Josh Radinsky,Learning Sciences,Undirected,2015,20
Josh Radinsky,Curriculum and Instruction,Undirected,2015,30
Florence R. Sullivan,Music Composition,Undirected,2015,00
Florence R. Sullivan,Instructional Technology,Undirected,2015,10
Florence R. Sullivan,Cognitive Studies,Undirected,2015,20
Florence R. Sullivan,Learning Technology,Undirected,2015,30
Nicholas C. Wilson,Teaching and Learning,Undirected,2015,30
Jennifer M. Langer-Osuna,Cognitive Psychology,Undirected,2015,00
Jennifer M. Langer-Osuna,Cognition and Development,Undirected,2015,10
Jennifer M. Langer-Osuna,Cognition and Development,Undirected,2015,20
Jennifer M. Langer-Osuna,Teaching and Learning,Undirected,2015,30
Olivia Levrini,Physics,Undirected,2015,00
Olivia Levrini,Physics,Undirected,2015,10
Olivia Levrini,Physics,Undirected,2015,20
Olivia Levrini,Physics Education,Undirected,2015,30
Giulia Tasquier,Physics,Undirected,2015,00
Giulia Tasquier,Physics,Undirected,2015,10
Giulia Tasquier,Physics,Undirected,2015,20
Giulia Tasquier,Physics Education,Undirected,2015,30
Barbara Pecori,Physics,Undirected,2015,10
Barbara Pecori,Physics and Astronomy,Undirected,2015,30
Mariana Levin,Mathematics,Undirected,2015,00
Mariana Levin,Mathematics,Undirected,2015,10
Mariana Levin,Mathematics,Undirected,2015,20
Mariana Levin,Mathematics,Undirected,2015,30
Maarit Arvaja,Teaching and Learning,Undirected,2015,30
Fred Janssen,Biology,Undirected,2015,10
Fred Janssen,Biology,Undirected,2015,20
Fred Janssen,Science Education,Undirected,2015,30
Hanna Westbroek,Science and Mathematic Education,Undirected,2015,20
Hanna Westbroek,Teaching Education,Undirected,2015,30
Walter Doyle,Teaching and Learning,Undirected,2015,30
Carl Bereiter,Education,Undirected,2015,30
Allan Collins,Education,Undirected,2015,30
John Frederiksen,Psychology,Undirected,2015,00
John Frederiksen,Psychology,Undirected,2015,10
John Frederiksen,Psychology,Undirected,2015,20
John Frederiksen,Teaching Education,Undirected,2015,30
Joseph Campione,Education,Undirected,2015,30
Marcia C. Linn,Psychology and Statistics,Undirected,2015,00
Marcia C. Linn,Educational Psychology,Undirected,2015,10
Marcia C. Linn,Educational Psychology,Undirected,2015,20
Marcia C. Linn,Science and Technology,Undirected,2015,30
Michelle Hoda Wilkerson-Jerde,Education,Undirected,2015,00
Michelle Hoda Wilkerson-Jerde,Mathematics,Undirected,2015,10
Michelle Hoda Wilkerson-Jerde,Learning Sciences,Undirected,2015,20
Michelle Hoda Wilkerson-Jerde,Science Education,Undirected,2015,30
Uri J. Wilensky,Mathematics and Philosophy,Undirected,2015,00
Uri J. Wilensky,Mathematics,Undirected,2015,10
Uri J. Wilensky,Media Arts and Sciences,Undirected,2015,20
Cesar Lopez,Learning Sciences,Undirected,2015,30
Mario Carretero,Basic Psychology,Undirected,2015,30
Maria Rodriguez-Moneo,Psychology Basic,Undirected,2015,30
A. Susan Jurow,Psychology,Undirected,2015,00
A. Susan Jurow,"Education, Cognition & Development",Undirected,2015,10
A. Susan Jurow,"Education, Cognition & Development",Undirected,2015,20
A. Susan Jurow,Teacher Education,Undirected,2015,30
Mike Sharples,Educational Technology,Undirected,2015,30
Eileen Scanlon,Educational Technology,Undirected,2015,30
Shaaron Ainsworth,Learning Sciences,Undirected,2015,30
Charles Crook,Education,Undirected,2015,30
Ann Jones,Educational Technology,Undirected,2015,30
Lucinda Kerawalla,Human Psychology,Undirected,2015,00
Lucinda Kerawalla,Human Psychology,Undirected,2015,10
Lucinda Kerawalla,Human Psychology,Undirected,2015,20
Lucinda Kerawalla,Technology-enhanced Learning,Undirected,2015,30
Karen Littleton,Education,Undirected,2015,30
Nicole A. Bannister,Mathematics,Undirected,2015,00
