source,target,type,year,make
Janet L. Kolodner,Math and Computer Sciences,Undirected,2006,00
Janet L. Kolodner,Computer Science,Undirected,2006,10
Janet L. Kolodner,Computer Science,Undirected,2006,20
Janet L. Kolodner,Cognitive Sciences,Undirected,2006,30
Janet L. Kolodner,Learning Sciences,Undirected,2006,30
Janet L. Kolodner,Artificial Intelligence,Undirected,2006,30
Janet L. Kolodner,Educational Technology,Undirected,2006,30
Richard Lesh,Math,Undirected,2006,00
Richard Lesh,Physics,Undirected,2006,00
Richard Lesh,Cognitive Psychology,Undirected,2006,20
Richard Lesh,Statistics,Undirected,2006,20
Richard Lesh,Learning Sciences,Undirected,2006,30
Richard Lesh,Cognitive Sciences,Undirected,2006,30
Richard Lesh,Maths Education,Undirected,2006,30
Jeremy Roschelle,Computer Science,Undirected,2006,00
Jeremy Roschelle,Learning Sciences,Undirected,2006,20
Jeremy Roschelle,Maths Education,Undirected,2006,30
Jeremy Roschelle,Educational Technology,Undirected,2006,30
Nora H. Sabelli,Chemistry,Undirected,2006,20
Nora H. Sabelli,Computational Chemistry,Undirected,2006,30
Nora H. Sabelli,Learning Sciences,Undirected,2006,30
Michael J. Jacobson,Education?,Undirected,2006,20
Michael J. Jacobson,Learning Sciences,Undirected,2006,30
Michael J. Jacobson,Psychology of education,Undirected,2006,30
Uri Wilensky,Mathematics and Philosophy,Undirected,2006,00
Uri Wilensky,Mathematics,Undirected,2006,10
Uri Wilensky,Media Arts and Sciences,Undirected,2006,20
Uri Wilensky,Learning Science,Undirected,2006,30
Uri Wilensky,Computer Science,Undirected,2006,30
Robert L. Goldstone,Cognitive Science,Undirected,2006,00
Robert L. Goldstone,Psychology,Undirected,2006,10
Robert L. Goldstone,Psychology,Undirected,2006,20
Robert L. Goldstone,Brain Sciences,Undirected,2006,30
Cindy E. Hmelo-Silver,Cardiorespiratory Sciences,Undirected,2006,00
Cindy E. Hmelo-Silver,Cognitive Sciences,Undirected,2006,10
Cindy E. Hmelo-Silver,Cognitive Sciences,Undirected,2006,20
Cindy E. Hmelo-Silver,Learning Sciences,Undirected,2006,30
Roger Azevedo,Biology,Undirected,2006,00
Roger Azevedo,Educational Technology,Undirected,2006,10
Roger Azevedo,Cognitive Sciences,Undirected,2006,20
Roger Azevedo,Learning Sciences,Undirected,2006,30
Noreen M. Webb,Math,Undirected,2006,00
Noreen M. Webb,Statistics,Undirected,2006,10
Noreen M. Webb,Educational Psychology,Undirected,2006,20
Noreen M. Webb,Learning Sciences,Undirected,2006,30
Kariane Mari Nemer,Learning Sciences,Undirected,2006,30
Marsha Ing,Educational Psychology,Undirected,2006,00
Marsha Ing,Educational Research Methodology,Undirected,2006,10
Marsha Ing,Advanced Quantitative Methodology,Undirected,2006,20
Marsha Ing,Educational Measurement,Undirected,2006,30
Pierre Dillenbourg,Math,Undirected,2006,00
Pierre Dillenbourg,Education,Undirected,2006,10
Pierre Dillenbourg,Artificial Intelligence,Undirected,2006,20
Pierre Dillenbourg,Learning Sciences,Undirected,2006,30
David Traum,Applied Mathmatics,Undirected,2006,00
David Traum,Computer Science,Undirected,2006,10
David Traum,Computer Science,Undirected,2006,20
David Traum,Computer Science,Undirected,2006,30
Katherine L. McNeill,Biology,Undirected,2006,00
Katherine L. McNeill,English,Undirected,2006,00
Katherine L. McNeill,Ecology and Evolutionary Biology,Undirected,2006,10
Katherine L. McNeill,Science Education,Undirected,2006,20
Katherine L. McNeill,Learning Sciences,Undirected,2006,30
David J. Lizotte,Computing Science,Undirected,2006,00
David J. Lizotte,Computing Science,Undirected,2006,10
David J. Lizotte,Computing Science,Undirected,2006,20
David J. Lizotte,Math,Undirected,2006,30
David J. Lizotte,Education,Undirected,2006,30
Joseph Krajcik,Chemistry,Undirected,2006,00
Joseph Krajcik,Science Education,Undirected,2006,20
Joseph Krajcik,Curriculum and Instruction,Undirected,2006,30
Joseph Krajcik,Science Education,Undirected,2006,30
Joseph Krajcik,Teacher Education,Undirected,2006,30
Ronald W. Marx,Psychology,Undirected,2006,00
Ronald W. Marx,School Psychology,Undirected,2006,10
Ronald W. Marx,Educational Psychology,Undirected,2006,20
Ronald W. Marx,Educational Psychology,Undirected,2006,30
Ference Marton,Phenomenography,Undirected,2006,30
Ference Marton,Educational Psychology,Undirected,2006,30
Ming Fai Pang,Education,Undirected,2006,30
Ming Fai Pang,Phenomenography,Undirected,2006,30
Ming Fai Pang,Learning Sciences,Undirected,2006,30
Joseph L. Polman,Literature,Undirected,2006,00
Joseph L. Polman,Learning Sciences,Undirected,2006,20
Joseph L. Polman,Educational Psychology,Undirected,2006,30
Joseph L. Polman,Learning Sciences,Undirected,2006,30
Seth Rosenberg,Psychology,Undirected,2006,00
Seth Rosenberg,Clinical and Counseling Psychology,Undirected,2006,10
Seth Rosenberg,Counseling Psychology,Undirected,2006,30
David Hammer,Physics,Undirected,2006,00
David Hammer,Physics,Undirected,2006,10
David Hammer,Science and Maths Education,Undirected,2006,20
David Hammer,Education,Undirected,2006,30
David Hammer,Physics,Undirected,2006,30
David Hammer,Astronomy,Undirected,2006,30
