source,target,type,year,code
Janet L.Kolodner,math and computer science,undirected,2005,00
Janet L.Kolodner,computer science,undirected,2005,10
Janet L.Kolodner,computer science,undirected,2005,20
Janet L.Kolodner,learning science,undirected,2005,30
Na'ilah Suad Nasir,blank,undirected,2005,00
Na'ilah Suad Nasir,blank,undirected,2005,10
Na'ilah Suad Nasir,educational psychology?,undirected,2005,20
Na'ilah Suad Nasir,education,undirected,2005,30
A. Susan Jurow,Psychology,undirected,2005,00
A. Susan Jurow,Education,undirected,2005,10
A. Susan Jurow,Education,undirected,2005,20
A. Susan Jurow,learning sciences and human development,undirected,2005,30
Robert L. Goldstone ,Cognitive Science,undirected,2005,00
Robert L. Goldstone ,Psychology,undirected,2005,10
Robert L. Goldstone ,Psychology,undirected,2005,20
Robert L. Goldstone ,Cognitive Science/Cognitive Psychology,undirected,2005,30
Ji Y. Son,Cognitive Science,undirected,2005,00
Ji Y. Son,blank,undirected,2005,10
Ji Y. Son,Cognitive Science and Psychology,undirected,2005,20
Ji Y. Son,psychology,undirected,2005,30
Timothy Koschmann,Philosophy,undirected,2005,00
Timothy Koschmann,Psychology,undirected,2005,10
Timothy Koschmann,Computer Science,undirected,2005,20
Timothy Koschmann,Medical Education,undirected,2005,30
Stella Vosniadou ,blank,undirected,2005,00
Stella Vosniadou ,Psychology and Education,undirected,2005,10
Stella Vosniadou ,Psychology,undirected,2005,20
Stella Vosniadou ,Education,undirected,2005,30
Costas Pagondiotis,Mechanical Engineering,undirected,2005,00
Costas Pagondiotis,Applied Mathematics and Physical Sciences,undirected,2005,10
Costas Pagondiotis,Applied Mathematics and Physical Sciences,undirected,2005,20
Costas Pagondiotis,philosophy,undirected,2005,30
Maria Deliyianni,Political Science and Public Administration,undirected,2005,00
Maria Deliyianni,International and European Studies (with distinction),undirected,2005,10
Maria Deliyianni,Maritime Science,undirected,2005,20
Maria Deliyianni,Government and Public Affairs,undirected,2005,30
Fehmi Dogan ,Architecture,undirected,2005,00
Fehmi Dogan ,Science,undirected,2005,10
Fehmi Dogan ,Architecture,undirected,2005,20
Fehmi Dogan ,Design cognition and education,undirected,2005,30
 Nancy J. Nersessian,Physics and Philosophy,undirected,2005,00
 Nancy J. Nersessian,Philosophy,undirected,2005,10
 Nancy J. Nersessian,Philosophy,undirected,2005,20
 Nancy J. Nersessian,Cognitive Science/Psychology,undirected,2005,30
Rogers Hall,Behavioral Sciences,undirected,2005,00
Rogers Hall,M.A. in Behavioral Sciences/M.S. in Information and Computer Science,undirected,2005,10
Rogers Hall,Information and Computer Science,undirected,2005,20
Rogers Hall,Teaching and Learning,undirected,2005,30
Geoffrey C. Bowker,History,undirected,2005,00
Geoffrey C. Bowker,blank,undirected,2005,10
Geoffrey C. Bowker,History and Philosophy of Science,undirected,2005,20
Geoffrey C. Bowker,Information and Computer Sciences,undirected,2005,30
Michelene T. H. Chi,blank,undirected,2005,00
Michelene T. H. Chi,blank,undirected,2005,10
Michelene T. H. Chi,Carnegie-Mellon University,undirected,2005,20
Michelene T. H. Chi,cognitive science,undirected,2005,30
Nikol Rummel,Psychology,undirected,2005,00
Nikol Rummel,Educational Psychology,undirected,2005,10
Nikol Rummel,psychology,undirected,2005,20
Nikol Rummel,Human Computer Interaction,undirected,2005,30
Hans Spada,blank,undirected,2005,00
Hans Spada,blank,undirected,2005,10
Hans Spada,Psychology,undirected,2005,20
Hans Spada,Psychology,undirected,2005,30
Yehudit Judy Dori,chemistry,undirected,2005,00
Yehudit Judy Dori,Life Sciences,undirected,2005,10
Yehudit Judy Dori,Science Education,undirected,2005,20
Yehudit Judy Dori,Education in Technology and Science,undirected,2005,30
 John Belcher,Physics and Math,undirected,2005,00
 John Belcher,Caltech,undirected,2005,10
 John Belcher,physics,undirected,2005,20
 John Belcher,space plasma physics,undirected,2005,30
Timothy Koschmann,Philosophy,undirected,2005,00
Timothy Koschmann,Psychology,undirected,2005,10
Timothy Koschmann,Computer Science,undirected,2005,20
Timothy Koschmann,Medical Education,undirected,2005,30
Aaron V. Cicourel,experimental psychology,undirected,2005,00
Aaron V. Cicourel,anthropology and sociology,undirected,2005,10
Aaron V. Cicourel,mathematics，social science,undirected,2005,20
Aaron V. Cicourel,sociology,undirected,2005,30
Penelope Brown,Psychology,undirected,2005,00
Penelope Brown,Anthropology and Linguistics,undirected,2005,10
Penelope Brown,Anthropology,undirected,2005,20
Penelope Brown,Psycholinguistics,undirected,2005,30
Max M. Louwerse,blank,undirected,2005,00
Max M. Louwerse,Dutch Language and Literature，Literary Studies,undirected,2005,10
Max M. Louwerse,Linguistics,undirected,2005,20
Max M. Louwerse,Cognitive Psychology and Artificial Intelligence,undirected,2005,30
Matthew Ventura,Psychology,undirected,2005,00
Matthew Ventura,Psychology,undirected,2005,10
Matthew Ventura,Cognitive Experimental Psychology,undirected,2005,20
Matthew Ventura,Education,undirected,2005,30
Paul Bloom,psychology?,undirected,2005,00
Paul Bloom,blank,undirected,2005,10
Paul Bloom,cognitive psychology,undirected,2005,20
Paul Bloom,Psychology & Cognitive Science,undirected,2005,30
Brian K. Smith,Computer Science and Engineering,undirected,2005,00
Brian K. Smith,blank,undirected,2005,10
Brian K. Smith,Learning Sciences,undirected,2005,20
Brian K. Smith,Learning Technologies,undirected,2005,30
Brian J. Reiser,Psychology,undirected,2005,00
Brian J. Reiser,Psychology,undirected,2005,10
Brian J. Reiser,Cognitive Science,undirected,2005,20
Brian J. Reiser,Learning Sciences,undirected,2005,30
Andrew Izsák,mathematics,undirected,2005,00
Andrew Izsák,mathematics，Education,undirected,2005,10
Andrew Izsák,science and mathematics education,undirected,2005,20
Andrew Izsák,mathematics education,undirected,2005,30
Frank Fischer,blank,undirected,2005,00
Frank Fischer,blank,undirected,2005,10
Frank Fischer,Psychology,undirected,2005,20
Frank Fischer,Education and Educational Psychology,undirected,2005,30
Heinz Mandl,blank,undirected,2005,00
Heinz Mandl,Psychology,undirected,2005,10
Heinz Mandl,Philosophie,undirected,2005,20
Heinz Mandl,Cognitive Competence,undirected,2005,30
Michael Eisenberg,Chemistry,undirected,2005,00
Michael Eisenberg,Computer Science,undirected,2005,10
Michael Eisenberg,Electrical Engineering and Computer Science,undirected,2005,20
Michael Eisenberg,"Computer Science,Cognitive Science",undirected,2005,30
Michael J. Ford,blank,undirected,2005,00
Michael J. Ford,educational psychology,undirected,2005,10
Michael J. Ford,blank,undirected,2005,20
Michael J. Ford,blank,undirected,2005,30
Cher Ping Lim  ,economics,undirected,2005,00
Cher Ping Lim  ,educational technology,undirected,2005,10
Cher Ping Lim  ,education,undirected,2005,20
Cher Ping Lim  ,Learning Technologies and Innovation?,undirected,2005,30
Sally Barnes ,blank,undirected,2005,00
Sally Barnes ,Language Development,undirected,2005,10
Sally Barnes ,blank,undirected,2005,20
Sally Barnes ,education,undirected,2005,30
Hanni Muukkonen,blank,undirected,2005,00
Hanni Muukkonen,blank,undirected,2005,10
Hanni Muukkonen,Psychology,undirected,2005,20
Hanni Muukkonen,Psychology/Educational sciences /Other agricultural sciences,undirected,2005,30
 Minna Lakkala,psychology and computer science,undirected,2005,00
 Minna Lakkala,psychology and computer science,undirected,2005,10
 Minna Lakkala,education,undirected,2005,20
 Minna Lakkala,Psychology/Educational sciences,undirected,2005,30
Kai Hakkarainen,theoretical philosophy,undirected,2005,00
Kai Hakkarainen,psychology,undirected,2005,10
Kai Hakkarainen,Applied Cognitive Science,undirected,2005,20
Kai Hakkarainen,Psychology,undirected,2005,30
Jim Hewitt,Mathematics，Education(两个学位),undirected,2005,00
Jim Hewitt,Education,undirected,2005,10
Jim Hewitt,Philosophy,undirected,2005,20
Jim Hewitt,Education,undirected,2005,30
