source,target,type,year,make,,,
Josh Radinsky,Comparative History,Undirected,2017,00,,,
Josh Radinsky,Learning Sciences,Undirected,2017,20,,,
Josh Radinsky,Learning Sciences,Undirected,2017,30,,,
Josh Radinsky,Curriculum and Instruction,Undirected,2017,30,,,
Iris Tabak,Computer Engineering,Undirected,2017,00,,,
Iris Tabak,Learning Sciences,Undirected,2017,20,,,
Iris Tabak,Learning Sciences,Undirected,2017,30,,,
Susan A. Yoon,Biology,Undirected,2017,00,,,
Susan A. Yoon,Education,Undirected,2017,00,,,
Susan A. Yoon,Science Education,Undirected,2017,10,,,
Susan A. Yoon,Science Education,Undirected,2017,20,,,
Susan A. Yoon,Learning Sciences,Undirected,2017,30,,,
Jan van Aalst,Physics,Undirected,2017,00,,,
Jan van Aalst,Physics,Undirected,2017,10,,,
Jan van Aalst,Math and Science Education,Undirected,2017,00,,,
Jan van Aalst,Science Education,Undirected,2017,20,,,
Jan van Aalst,Learning Sciences,Undirected,2017,30,,,
Michelene T. H. Chi,Cognitive and Learning Science,Undirected,2017,30,,,
Michelene T. H. Chi,the Science of Teaching & Learning,Undirected,2017,30,,,
Seokmin Kang,Human Development,Undirected,2017,30,,,
David L. Yaghmourian,Science of Teaching & Learning,Undirected,2017,30,,,
Erin Ottmar,psychology,Undirected,2017,00,,,
Erin Ottmar,elementary education,Undirected,2017,00,,,
Erin Ottmar,Educational Psychology,Undirected,2017,20,,,
Erin Ottmar,psychology and learning sciences,Undirected,2017,30,,,
David Landy,"Physics,Mathematics and Computer Science",Undirected,2017,00,,,
David Landy,Cognitive Science,Undirected,2017,00,,,
David Landy,English Literature,Undirected,2017,00,,,
David Landy,Computer Science,Undirected,2017,20,,,
David Landy,Cognitive Science,Undirected,2017,20,,,
David Landy,Cognitive Science,Undirected,2017,30,,,
David Landy,Brain and Psychological Sciences,Undirected,2017,30,,,
Cindy Litman,human development,Undirected,2017,00,,,
Cindy Litman,child development,Undirected,2017,10,,,
Cindy Litman,Strategic Literacy Initiative,Undirected,2017,30,,,
Stacy Marple,English Literature and Women's Studies,Undirected,2017,00,,,
Stacy Marple,Athletics and Acedemic Achivement,Undirected,2017,10,,,
Stacy Marple,"Education in Language,Literature,Society and Culture",Undirected,2017,20,,,
Stacy Marple,Innovation Studies,Undirected,2017,30,,,
Stacy Marple,Eduaction Partnerships,Undirected,2017,30,,,
Cynthia Greenleaf,linguistics,Undirected,2017,00,,,
Cynthia Greenleaf,Language and Literacy Education,Undirected,2017,10,,,
Cynthia Greenleaf,Language and Literacy Education,Undirected,2017,20,,,
Cynthia Greenleaf,Strategic Literacy Initiative,Undirected,2017,30,,,
Irisa Charney-Sirott,Teacher Professional Development,Undirected,2017,30,,,
Michael J. Bolz,Secondary Education,Undirected,2017,00,,,
Michael J. Bolz,English Literature,Undirected,2017,00,,,
Michael J. Bolz,Learning Sciences,Undirected,2017,10,,,
Michael J. Bolz,Learning Sciences,Undirected,2017,30,,,
Lisa K. Richardson,"Applied Science, Psychology",Undirected,2017,00,,,
Lisa K. Richardson,Clinical Psychology,Undirected,2017,10,,,
Lisa K. Richardson,Clinical Psychology,Undirected,2017,20,,,
Lisa K. Richardson,Clinical Psychology,Undirected,2017,30,,,
Allison H. Hall,Pathology,Undirected,2017,00,,,
Allison H. Hall,Pathology,Undirected,2017,10,,,
Allison H. Hall,Pathology,Undirected,2017,20,,,
Allison H. Hall,Pathology,Undirected,2017,30,,,
MariAnne George,Curriculum Instruction,Undirected,2017,30,,,
Susan R. Goldman,Psychology,Undirected,2017,00,,,
Susan R. Goldman,Psychology,Undirected,2017,10,,,
Susan R. Goldman,Psychology,Undirected,2017,20,,,
Susan R. Goldman,Learning Sciences,Undirected,2017,30,,,
Elisa Kupers,Psychology,Undirected,2017,00,,,
Elisa Kupers,Human Behaviour in Social Contexts,Undirected,2017,10,,,
Elisa Kupers,Clinical and Developmental Psychology,Undirected,2017,20,,,
Elisa Kupers,Behavioural and Social Sciences,Undirected,2017,30,,,
Elisa Kupers,Musicology and Music Education,Undirected,2017,30,,,
Marijn van Dijk,"Arts,Dutch language and literature",Undirected,2017,20,,,
Marijn van Dijk,Behavioural and Social Sciences,Undirected,2017,30,,,
Paul van geert,Psychology and Educational Sciences,Undirected,2017,00,,,
Paul van geert,Developmental Psychology,Undirected,2017,20,,,
Paul van geert,Developmental Psychology,Undirected,2017,30,,,
Susan A. Yoon,Biology,Undirected,2017,00,,,
Susan A. Yoon,Education,Undirected,2017,00,,,
Susan A. Yoon,Science Education,Undirected,2017,10,,,
Susan A. Yoon,Science Education,Undirected,2017,20,,,
