Source,Target,Type,Year,Code
Sasha Barab,Psychology,Undirected,2004,00
Sasha Barab,Education,Undirected,2004,01
Sasha Barab,Cognition and Instruction,Undirected,2004,02
Sasha Barab,Education,Undirected,2004,03
Allan Collins,Accounting,Undirected,2004,00
Allan Collins,Communication Sciences,Undirected,2004,01
Allan Collins,Cognitive Psychology,Undirected,2004,02
Allan Collins,Cognitive Psychology,Undirected,2004,03
Amy S. Bruckman,Physics,Undirected,2004,00
Amy S. Bruckman,Media Arts and Sciences,Undirected,2004,01
Amy S. Bruckman,Media Arts and Sciences,Undirected,2004,02
Amy S. Bruckman,Interactive Computing,Undirected,2004,03
Andrea A. diSessa,Physics,Undirected,2004,00
Andrea A. diSessa,Physics,Undirected,2004,01
Andrea A. diSessa,Physics,Undirected,2004,02
Andrea A. diSessa,Education,Undirected,2004,03
Annemarie Sullivan Palincsar,Special Education,Undirected,2004,00
Annemarie Sullivan Palincsar,Special Education,Undirected,2004,01
Annemarie Sullivan Palincsar,Education,Undirected,2004,02
Annemarie Sullivan Palincsar,Education,Undirected,2004,03
Anthony (Eamonn) Kelly,Education,Undirected,2004,00
Anthony (Eamonn) Kelly,Special Major,Undirected,2004,01
Anthony (Eamonn) Kelly,Psychology,Undirected,2004,02
Anthony (Eamonn) Kelly,Education,Undirected,2004,03
Barry Fishman,English and American Literature,Undirected,2004,00
Barry Fishman,Instructional Systems Technology,Undirected,2004,01
Barry Fishman,Learning Sciences,Undirected,2004,02
Barry Fishman,Education,Undirected,2004,03
Brian J. Reiser,Psychology,Undirected,2004,00
Brian J. Reiser,Psychology,Undirected,2004,01
Brian J. Reiser,Cognitive Science,Undirected,2004,02
Brian J. Reiser,Learning Sciences,Undirected,2004,03
Bruce Sherin,Physics,Undirected,2004,00
Bruce Sherin,Physics,Undirected,2004,01
Bruce Sherin,Science and Mathematics Education,Undirected,2004,02
Bruce Sherin,Learning Sciences,Undirected,2004,03
Chandra Muller,Sociology,Undirected,2004,00
Chandra Muller,Education,Undirected,2004,01
Chandra Muller,Sociology,Undirected,2004,02
Chandra Muller,Sociology,Undirected,2004,03
Chris Dede,Chemistry,Undirected,2004,00
Chris Dede,English,Undirected,2004,00
Chris Dede,Science Education,Undirected,2004,01
Chris Dede,Education,Undirected,2004,03
Chris Quintana,Biological Sciences,Undirected,2004,00
Chris Quintana,Computer Science and Engineering,Undirected,2004,01
Chris Quintana,Computer Science and Engineering,Undirected,2004,02
Chris Quintana,Learning Sciences,Undirected,2004,03
Daniel Edelson,Engineering Sciences,Undirected,2004,00
Daniel Edelson,Computer Science ,Undirected,2004,02
Daniel Edelson,Computer Science ,Undirected,2004,02
Daniel Edelson,Education,Undirected,2004,03
Diana Joseph,Learning Sciences,Undirected,2004,02
Diana Joseph,Learning Sciences,Undirected,2004,03
Douglas M. Harvey,Psychology,Undirected,2004,00
Douglas M. Harvey,Cultural Anthropology,Undirected,2004,01
Douglas M. Harvey,Theology,Undirected,2004,02
Douglas M. Harvey,Learning Sciences,Undirected,2004,03
Eleni Kyza,Education,Undirected,2004,00
Eleni Kyza,Technology in Education,Undirected,2004,01
Eleni Kyza,Learning Sciences,Undirected,2004,02
Eleni Kyza,Communication and Internet,Undirected,2004,03
Elliot Soloway,Computer and Information Science,Undirected,2004,01
Elliot Soloway,Computer and Information Science,Undirected,2004,02
Elliot Soloway,Computer and Information Science,Undirected,2004,03
Elliot Soloway,Education,Undirected,2004,03
Eric Fretz,Psychology,Undirected,2004,00
Eric Fretz,Education and training,Undirected,2004,01
Eric Fretz,Psychology & Education,Undirected,2004,02
Eric Fretz,Educational Psychology,Undirected,2004,03
Gayle S. Christensen,History and German,Undirected,2004,00
Gayle S. Christensen,International Relations,Undirected,2004,01
Gayle S. Christensen,International Educational Administration and Policy Analysis,Undirected,2004,01
Gayle S. Christensen,Education,Undirected,2004,02
Gayle S. Christensen,Education,Undirected,2004,03
Iris Tabak,Computer Engineering,Undirected,2004,00
Iris Tabak,Computer Engineering,Undirected,2004,01
Iris Tabak,Learning Sciences ,Undirected,2004,02
Iris Tabak,Learning Sciences ,Undirected,2004,03
James M. Hudson,Computer Science,Undirected,2004,02
James M. Hudson,Learning Sciences ,Undirected,2004,03
James O'Brien,Computer Science,Undirected,2004,00
James O'Brien,Computer Science,Undirected,2004,01
James O'Brien,Computer Science,Undirected,2004,02
James O'Brien,Computer Science,Undirected,2004,03
Joseph Krajcik,Communication and Philosophy,Undirected,2004,00
Joseph Krajcik,Chemistry and Broad Field Natural Science Certification,Undirected,2004,00
Joseph Krajcik,Curriculum and Instruction,Undirected,2004,01
Joseph Krajcik,Science Education,Undirected,2004,01
Joseph Krajcik,Science Education,Undirected,2004,02
Joseph Krajcik,Education,Undirected,2004,03
Katerine Bielaczyc,Computer Science,Undirected,2004,00
Katerine Bielaczyc,Education,Undirected,2004,01
Katerine Bielaczyc,Education,Undirected,2004,02
Katerine Bielaczyc,Education,Undirected,2004,03
Kenneth R. Koedinger,Mathematics,Undirected,2004,00
Kenneth R. Koedinger,Computer Science,Undirected,2004,00
Kenneth R. Koedinger,Computer Science,Undirected,2004,01
Kenneth R. Koedinger,Cognitive Psychology,Undirected,2004,02
Kenneth R. Koedinger,Human-Computer Interaction,Undirected,2004,03
Kurt Squire,Social Science Education,Undirected,2004,00
Kurt Squire,Instructional Systems Technology,Undirected,2004,01
Kurt Squire,Curriculum and Instruction,Undirected,2004,03
Leslie Moller,Psychology,Undirected,2004,00
Leslie Moller,Industrial Relations,Undirected,2004,01
Leslie Moller,Curriculum and Instruction,Undirected,2004,02
Leslie Moller,Curriculum and Instruction,Undirected,2004,03
Mark D. LeBlanc,Computer Science,Undirected,2004,00
Mark D. LeBlanc,Computer Science,Undirected,2004,01
Mark D. LeBlanc,Systems Design Engineering,Undirected,2004,02
Mark D. LeBlanc,Computer Science,Undirected,2004,03
Marshall S. Smith,Psychology,Undirected,2004,02
Marshall S. Smith,Mesurement and statics,Undirected,2004,02
Marshall S. Smith,Education,Undirected,2004,03
Marshall S. Smith,Technology,Undirected,2004,03
Mitchell J. Nathan,Electrical and Computer Engineering ,Undirected,2004,00
Mitchell J. Nathan,History,Undirected,2004,00
Mitchell J. Nathan,Mathematics ,Undirected,2004,01
Mitchell J. Nathan,Psychology,Undirected,2004,01
Mitchell J. Nathan,Cognitive Psychology,Undirected,2004,02
Mitchell J. Nathan,Education,Undirected,2004,03
Naomi Miyake,Education,Undirected,2004,01
Naomi Miyake,Psychology,Undirected,2004,02
Naomi Miyake,Education,Undirected,2004,03
Paul Cobb,Mathematics,Undirected,2004,00
Paul Cobb,Mathematics Education,Undirected,2004,01
Paul Cobb,Mathematics Education,Undirected,2004,02
Paul Cobb,Education,Undirected,2004,03
Ravit Golan Duncan,Biological Sciences,Undirected,2004,00
Ravit Golan Duncan,Biological Sciences,Undirected,2004,01
Ravit Golan Duncan,Learning Sciences,Undirected,2004,02
Ravit Golan Duncan,Science Education,Undirected,2004,03
Ronald W. Marx,Psychology,Undirected,2004,00
Ronald W. Marx,School Psychology,Undirected,2004,01
Ronald W. Marx,Educational Psychology and Child Development,Undirected,2004,02
Ronald W. Marx,Educational Psychology and Child Development,Undirected,2004,03
Roy D. Pea,Philosophy ,Undirected,2004,00
Roy D. Pea,Psychology,Undirected,2004,00
Roy D. Pea,Developmental Psychology,Undirected,2004,01
Roy D. Pea,Psycholinguistics,Undirected,2004,02
Roy D. Pea,Computer Science,Undirected,2004,03
Shirley J. Magnusson,Science and Education,Undirected,2004,00
Shirley J. Magnusson,Science Teacher Education,Undirected,2004,01
Shirley J. Magnusson,Science Teacher Education,Undirected,2004,02
Shirley J. Magnusson,Science Teacher Education,Undirected,2004,03
Sylvia Weber-Russell,Computational Linguistics,Undirected,2004,02
Sylvia Weber-Russell,Computer Science,Undirected,2004,03
Thomas S. Popkewitz,Teacher Education,Undirected,2004,02
Thomas S. Popkewitz,Teacher Education,Undirected,2004,03
Timothy Koschmann,Philosophy,Undirected,2004,00
