Source,Target,Type,Year,Mark
Mitchel Resnick,Physics,undirected,1996,00 
Mitchel Resnick,Computer science,undirected,1996,10
Mitchel Resnick,Computer science,undirected,1996,20
Mitchel Resnick,The learning sciences,undirected,1996,30
Gregory Hume,Social science,undirected,1996,00
Gregory Hume,Education,undirected,1996,10
Gregory Hume,The learning sciences,undirected,1996,20
Gregory Hume,Biophysics and Physiology,undirected,1996,30
Joel Michael,The learning sciences,undirected,1996,30
Allen Rovick,Education,undirected,1996,00
Martha Evens,Math,undirected,1996,0
Martha Evens,Math,undirected,1996,10
Martha Evens,Computer Science,undirected,1996,20
Martha Evens,The learning sciences,undirected,1996,30
Johanna D. Moore,Math,undirected,1996,00
Johanna D. Moore,Computer Science,undirected,1996,00
Johanna D. Moore,Computer Science,undirected,1996,10
Johanna D. Moore,Computer Science,undirected,1996,20
Johanna D. Moore,The learning sciences,undirected,1996,30
Benoit Lemaire,AI,undirected,1996,00
Benoit Lemaire,Psychology,undirected,1996,10
Benoit Lemaire,Computer Science,undirected,1996,20
Benoit Lemaire,The learning sciences,undirected,1996,30
James A. Rosenblum,Physics,undirected,1996,00
Wolff-Michael Roth,Physics,undirected,1996,00
Wolff-Michael Roth,Psychology,undirected,1996,10
Wolff-Michael Roth,Psychology,undirected,1996,20
Wolff-Michael Roth,Psychology,undirected,1996,30
Jeremy Roschelle,Computer Science,undirected,1996,00
Jeremy Roschelle,Psychology,undirected,1996,10
Jeremy Roschelle,The learning sciences,undirected,1996,20
Jeremy Roschelle,The learning sciences,undirected,1996,30
Elaine M. Crowder,The learning sciences,undirected,1996,30
Rogers Hall,Teaching and Learning,undirected,1996,30
Judit N. Moschkovich,Social science,undirected,1996,00
Judit N. Moschkovich,Psychology,undirected,1996,10
Judit N. Moschkovich,Education,undirected,1996,20
Judit N. Moschkovich,The learning sciences,undirected,1996,30
Christine Theberge Rafal,Teaching and Curriculum and Learning Environments,undirected,1996,00
Christine Theberge Rafal,Linguistics,undirected,1996,10
Christine Theberge Rafal,Secondary English,undirected,1996,20
Christine Theberge Rafal,The learning sciences,undirected,1996,30
Nancy Butler Songer,Biology,undirected,1996,00
Nancy Butler Songer,Biology,undirected,1996,10
Nancy Butler Songer,Science Education and Learning Technologies,undirected,1996,20
Nancy Butler Songer,The learning sciences,undirected,1996,30
Valerie J. Shute,Psychology,undirected,1996,00
Valerie J. Shute,Biology,undirected,1996,00
Valerie J. Shute,Psychology,undirected,1996,10
Valerie J. Shute,Psychology,undirected,1996,20
Valerie J. Shute,The learning sciences,undirected,1996,30
Kevin A. Gluck,Psychology,undirected,1996,00
Kevin A. Gluck,Psychology,undirected,1996,10
Kevin A. Gluck,Psychology,undirected,1996,20
Kevin A. Gluck,The learning sciences,undirected,1996,30
Daniel C. Edelson,Computer Science,undirected,1996,10
Daniel C. Edelson,Education,undirected,1996,20
Daniel C. Edelson,The learning sciences,undirected,1996,30
