source,target,type,year,code
Iris Tabak,Computer Engineering,Undirected,2014,00
Iris Tabak,Learning Sciences,Undirected,2014,20
Iris Tabak,Learning Sciences£¿,Undirected,2014,30
Josh Radinsky,History,Undirected,2014,00
Josh Radinsky,Learning Sciences,Undirected,2014,20
Josh Radinsky,Learning,Undirected,2014,30
Carl Bereiter,Education,Undirected,2014,30
William Sandocal,Computer Science,Undirected,2014,00
William Sandocal,Learning Sciences,Undirected,2014,20
William Sandocal,Education,Undirected,2014,30
David Hammer,Physics,Undirected,2014,00
David Hammer,Physics,Undirected,2014,10
David Hammer,Science and Mathematics Education,Undirected,2014,20
David Hammer,Education and Physics,Undirected,2014,30
Leema K. Berland,Computer Science,Undirected,2014,00
Leema K. Berland,Learning Sciences,Undirected,2014,20
Leema K. Berland,Curriculum and Instruction,Undirected,2014,30
William R. Penuel ,Psychology,Undirected,2014,00
William R. Penuel ,Human Development and Psychology,Undirected,2014,10
William R. Penuel ,Developmental Psychology,Undirected,2014,20
William R. Penuel ,Learning Sciences and Human Development,Undirected,2014,30
Jere Confrey ,Mathematics/Philosophy,Undirected,2014,00
Jere Confrey ,"Mathematics Education, Curriculum-Instruction",Undirected,2014,10
Jere Confrey ,"Mathematics Education, Research Methodology",Undirected,2014,20
Jere Confrey ,Mathematics Education,Undirected,2014,30
 Alan Maloney ,,Undirected,2014,00
 Alan Maloney ,Secondary Education and Teaching,Undirected,2014,10
 Alan Maloney ,Science Teacher/General Science Teacher Education,Undirected,2014,20
 Alan Maloney ,Science Education,Undirected,2014,30
Andr¨¦ A. Rupp,English,Undirected,2014,00
Andr¨¦ A. Rupp,Applied Linguistics,Undirected,2014,10
Andr¨¦ A. Rupp,Mathematics/Statistics,Undirected,2014,10
Andr¨¦ A. Rupp,"Measurement, Evaluation, and Research Methodology",Undirected,2014,20
Andr¨¦ A. Rupp,Educational Testing Service,Undirected,2014,30
Josh Radinsky,History,Undirected,2014,00
Josh Radinsky,Learning Sciences,Undirected,2014,20
Josh Radinsky,Learning Sciences,Undirected,2014,30
Joshua A. Danish,Computer Science,Undirected,2014,00
Joshua A. Danish,Psychology Studies in Education,Undirected,2014,10
Joshua A. Danish,Education,Undirected,2014,20
Joshua A. Danish,Learning Sciences,Undirected,2014,30
Aileen Oeberst,Psychology,Undirected,2014,00
Aileen Oeberst,Psychology,Undirected,2014,20
Aileen Oeberst,Psychology,Undirected,2014,30
Ulrike Cress,Theology,Undirected,2014,00
Ulrike Cress,Psychology,Undirected,2014,20
Ulrike Cress,Knowledge Media Research Center,Undirected,2014,30
Wolff-Michael Roth,Nuclear Physics,Undirected,2014,10
Wolff-Michael Roth,Physics Sciences,Undirected,2014,20
Wolff-Michael Roth,Applied Cognitive Science,Undirected,2014,30
Julia Eberle,"Educational Science, Psychology, Statistics",Undirected,2014,10
Julia Eberle,Learning Sciences,Undirected,2014,20
Julia Eberle,Educational Psychology,Undirected,2014,30
Karsten Stegmann,Education and Educational Psychology,Undirected,2014,00
Karsten Stegmann,Education and Educational Psychology,Undirected,2014,10
Karsten Stegmann,Computer science,Undirected,2014,10
Karsten Stegmann,Educational Science,Undirected,2014,20
Karsten Stegmann,Learning,Undirected,2014,30
Frank Fischer,Psychology,Undirected,2014,10
Frank Fischer,Psychology,Undirected,2014,20
Frank Fischer,Learning Sciences,Undirected,2014,30
Randi A. Engle,Psychology,Undirected,2014,00
Randi A. Engle,Mathematics,Undirected,2014,00
Randi A. Engle,Education,Undirected,2014,20
Randi A. Engle,Education,Undirected,2014,30
Jennifer M. Langer-Osuna,Cognitive Psychology,Undirected,2014,00
Jennifer M. Langer-Osuna,Cognition and Development,Undirected,2014,10
Jennifer M. Langer-Osuna,Cognition and Development,Undirected,2014,20
Jennifer M. Langer-Osuna,Curriculum and Teacher Education,Undirected,2014,30
Maxine McKinney de Royston,Curriculum and Teaching Methodology,Undirected,2014,00
Maxine McKinney de Royston,Education,Undirected,2014,20
Maxine McKinney de Royston,STEM Learning,Undirected,2014,30
Betsy DiSalvo,Ceramics,Undirected,2014,00
Betsy DiSalvo,History Technology and Society,Undirected,2014,10
Betsy DiSalvo,Learning Sciences and Technology,Undirected,2014,20
Betsy DiSalvo,Learning Sciences and Technology,Undirected,2014,30
Mark Guzdial,Computer Science,Undirected,2014,00
Mark Guzdial,Computer Science & Engineering,Undirected,2014,10
Mark Guzdial,Education and Computer Science & Engineering,Undirected,2014,20
Mark Guzdial,Computer Science,Undirected,2014,30
Amy Bruckman,Physics,Undirected,2014,00
Amy Bruckman,Physics,Undirected,2014,10
Amy Bruckman,Media Arts and Sciences,Undirected,2014,20
Amy Bruckman,Social Computing,Undirected,2014,30
Amy Bruckman,Online Communitites,Undirected,2014,30
Amy Bruckman,Collaborative Computing,Undirected,2014,30
Tom McKlin,Applied Linguistics,Undirected,2014,10
Tom McKlin,Instructional Technology,Undirected,2014,20
Tom McKlin,Instructional Technology,Undirected,2014,20
Tom McKlin,Education,Undirected,2014,30
Annelies Raes,Educational Studies,Undirected,2014,00
Annelies Raes,Educational Studies,Undirected,2014,10
Annelies Raes,Computer Supported Collaborative Learning,Undirected,2014,30
Indigo Esmonde,Mathematics,Undirected,2014,00
Indigo Esmonde,Mathematics,Undirected,2014,10
Indigo Esmonde,Education,Undirected,2014,20
Indigo Esmonde,Education,Undirected,2014,30
Jessica Thompson,Biology,Undirected,2014,00
Jessica Thompson,Curriculum and Instruction,Undirected,2014,10
Jessica Thompson,Science Education,Undirected,2014,10
Jessica Thompson,Curriculum and Instruction,Undirected,2014,20
Jessica Thompson,Philosophy in Education,Undirected,2014,20
Jessica Thompson,Education,Undirected,2014,30
Jerusha Conner,English Literature,Undirected,2014,00
Jerusha Conner,English Literature,Undirected,2014,10
Jerusha Conner,Education,Undirected,2014,20
Jerusha Conner,Education Policy,Undirected,2014,30
Michelle E. Jordan ,Music Education,Undirected,2014,00
Michelle E. Jordan ,Music Education,Undirected,2014,10
Michelle E. Jordan ,Educational Psychology,Undirected,2014,20
Michelle E. Jordan ,Educational Psychology,Undirected,2014,30
Reuben R. McDaniel Jr.,Mechanical Engineering ,Undirected,2014,00
Reuben R. McDaniel Jr.,Guidance and Counseling,Undirected,2014,10
Reuben R. McDaniel Jr.,Higher Education,Undirected,2014,20
Reuben R. McDaniel Jr.,Education,Undirected,2014,30
Ido Roll,Physics,Undirected,2014,00
Ido Roll,Math,Undirected,2014,00
Ido Roll,Human Computer Interaction,Undirected,2014,20
Ido Roll,Teaching and Learning,Undirected,2014,30
Ryan S. J. d. Baker,Computer Science,Undirected,2014,00
Ryan S. J. d. Baker,Human-computer Interaction,Undirected,2014,10
Ryan S. J. d. Baker,Human-computer Interaction,Undirected,2014,20
Ryan S. J. d. Baker,Learning Analytics,Undirected,2014,30
Vincent Aleven,Computer Science,Undirected,2014,10
Vincent Aleven,Intelligent Systems,Undirected,2014,20
Vincent Aleven,Human-computer Interaction,Undirected,2014,30
Kenneth R. Koedinger,Computer Science,Undirected,2014,10
Kenneth R. Koedinger,Computer Science,Undirected,2014,20
Kenneth R. Koedinger,Human-computer Interaction & Phychology,Undirected,2014,30
Paulo Blikstein,Electronic Systems,Undirected,2014,10
Paulo Blikstein,New Technologies for Education,Undirected,2014,10
Paulo Blikstein,Cognitive Science,Undirected,2014,20
Paulo Blikstein,Education,Undirected,2014,30
Marcelo Worsley,Portuguese Language and Literature,Undirected,2014,00
Marcelo Worsley,Computer Science,Undirected,2014,10
Marcelo Worsley,Learning Sciences,Undirected,2014,20
Chris Piech,Computer Science,Undirected,2014,00
