Source,Target,Type,year,code,,,
Benjiamin Bell,Computer Science,undirected,1998,00,,,
Benjiamin Bell,Human Factors,undirected,1998,10,,,
Benjiamin Bell,Artificial Intelligence,undirected,1998,20,,,
Benjiamin Bell,Artificial Intelligence,undirected,1998,30,,,
Carol Redfield,mathematics and psychology,undirected,1998,00,,,
Carol Redfield,mathematics,undirected,1998,10,,,
Carol Redfield,"computer, information and control engineering",undirected,1998,10,,,
Carol Redfield,"Computer Science, higher education",undirected,1998,30,,,
Tom Murray,Physics,undirected,1998,00,,,
Tom Murray,Computer Science,undirected,1998,10,,,
Tom Murray,Educational Technology,undirected,1998,20,,,
Tom Murray,Computer Science,undirected,1998,30,,,
Stephen B. Blessing,Psychology,undirected,1998,00,,,
Stephen B. Blessing,Cognitive Psychology,undirected,1998,20,,,
Stephen B. Blessing,Higher Education,undirected,1998,30,,,
Steven Ritter,Elementary Education and Teaching,undirected,1998,00,,,
Steven Ritter,Educational Counseling,undirected,1998,10,,,
Steven Ritter,Communications,undirected,1998,10,,,
Steven Ritter,Education Resource Information,undirected,1998,30,,,
Timothy Koschmann,philosophy,undirected,1998,00,,,
Timothy Koschmann,experimental psychology,undirected,1998,10,,,
Timothy Koschmann,Computer Science,undirected,1998,20,,,
Stellan Ohlsson,Cognitive Psychology,undirected,1998,20,,,
Stellan Ohlsson,"Psychology, computer science",undirected,1998,30,,,
David N. Perkins,Educational Psychology,undirected,1998,30,,,
Mitchel Resnick,Physics,undirected,1998,00,,,
Mitchel Resnick,Computer science,undirected,1998,10,,,
Mitchel Resnick,Computer science,undirected,1998,20,,,
Mitchel Resnick,"Learning Science, constructionist learning",undirected,1998,30,,,
Uri Wilensky,Mathematics and Philosophy,undirected,1998,00,,,
Uri Wilensky,Mathematics,undirected,1998,10,,,
Uri Wilensky,Media Arts and Sciences,undirected,1998,20,,,
Uri Wilensky,Electrical Engineering and Computer Science,undirected,1998,30,,,
Cindy E. Hmelo,Cardiorespiratory Sciences,undirected,1998,00,,,
Cindy E. Hmelo,Educational Computing,undirected,1998,10,,,
Cindy E. Hmelo,Cognitive Studies,undirected,1998,20,,,
Cindy E. Hmelo,Education and Technology ,undirected,1998,30,,,
Judit N. Moschkovich,Psysics,undirected,1998,00,,,
Judit N. Moschkovich,Mathematics Education,undirected,1998,20,,,
Judit N. Moschkovich,Mathematics Learning,undirected,1998,30,,,
Jeremy Roschelle,Computer Science,undirected,1998,00,,,
Jeremy Roschelle,Learning Science,undirected,1998,20,,,
Jeremy Roschelle,Learning Science,undirected,1998,30,,,
Bonnie A. Nardi,Informatics,undirected,1998,30,,,
Brigid J.S. Barron ,Clinical and Developmental Psychology,undirected,1998,00,,,
Brigid J.S. Barron ,Psychology,undirected,1998,10,,,
Brigid J.S. Barron ,Psychology,undirected,1998,20,,,
Brigid J.S. Barron ,Developmental psychology,undirected,1998,30,,,
Dan Schwartz,Human Cognition and Learning,undirected,1998,00,,,
Dan Schwartz,Computers and Education,undirected,1998,10,,,
Dan Schwartz,Philosophy and Anthropology,undirected,1998,20,,,
Dan Schwartz,Educational Technology,undirected,1998,30,,,
Nancy J. Vye,Education,undirected,1998,30,,,
Anthony J. Petrosino,Psychology,undirected,1998,00,,,
Anthony J. Petrosino,Educational Technology,undirected,1998,10,,,
Anthony J. Petrosino,Education and Human Development,undirected,1998,20,,,
Anthony J. Petrosino,STEM Education,undirected,1998,30,,,
John D. Bransford,Psychology,undirected,1998,00,,,
John D. Bransford,Psychology,undirected,1998,20,,,
John D. Bransford,Learning Science,undirected,1998,30,,,
Joseph Krajcik,Science Education,undirected,1998,00,,,
Joseph Krajcik,"Curriculum and Instruction, Science Education",undirected,1998,10,,,
Joseph Krajcik,"Chemistry, Communication and Philosophy",undirected,1998,20,,,
Joseph Krajcik, Educational Studies,undirected,1998,30,,,
Phyllis C. Blumenfeld,Education,undirected,1998,00,,,
Phyllis C. Blumenfeld,Education and Psychology,undirected,1998,10,,,
Phyllis C. Blumenfeld,Psychology,undirected,1998,20,,,
Phyllis C. Blumenfeld,Psychology and biology,undirected,1998,20,,,
Phyllis C. Blumenfeld,Education,undirected,1998,30,,,
Ronald W. Marx,Educational Psychology,undirected,1998,30,,,
Kristin M. Bass,Psychology,undirected,1998,00,,,
Kristin M. Bass,Education and Psychology,undirected,1998,20,,,
Kristin M. Bass,STEM education,undirected,1998,30,,,
Jennifer Fredricks,Psychology,undirected,1998,30,,,
Elliot Soloway,Electrical Engineering and Computer Science,undirected,1998,30,,,
Julie Erickson,Learning Sciences,undirected,1998,30,,,
Richard Lehrer,Educational Psychology,undirected,1998,20,,,
Richard Lehrer,Teaching and Learning,undirected,1998,30,,,
Elaine B. Coleman,Psychology,undirected,1998,00,,,
Elaine B. Coleman,Educational Psychology,undirected,1998,10,,,
Elaine B. Coleman,Cognitive Science,undirected,1998,20,,,
Elaine B. Coleman,Bussiness Mentor and Strategist,undirected,1998,30,,,
Leona Schauble,Developmental psychology,undirected,1998,00,,,
Leona Schauble,Developmental and Educational Psychology,undirected,1998,20,,,
Leona Schauble,Teaching and Learning,undirected,1998,30,,,
