Source,Target,Type,Year,Code
James G. Greeno,Psychology,Undirected,2012,0
James G. Greeno,Education,Undirected,2012,10
James G. Greeno,Learning Sciences,Undirected,2012,20
James G. Greeno,Educational Psychology,Undirected,2012,30
van de Sande Carla C,Mathematics Education,Undirected,2012,0
van de Sande Carla C,Mathematics Education,Undirected,2012,10
van de Sande Carla C,Mathematics Education,Undirected,2012,20
van de Sande Carla C,Mathematics Education,Undirected,2012,30
Manu Kapur,Instructional Technology and Media,Undirected,2012,0
Manu Kapur,Science in Applied Statistics,Undirected,2012,10
Manu Kapur,Education,Undirected,2012,20
Manu Kapur,Instructional Technology and Media,Undirected,2012,30
Katerine Bielaczyc,Computer Science,Undirected,2012,10
Katerine Bielaczyc,Education,Undirected,2012,20
Katerine Bielaczyc,Learning Sciences,Undirected,2012,30
Eli Gottlieb,Psychology,Undirected,2012,10
Eli Gottlieb,Management,Undirected,2012,20
Eli Gottlieb,Cognitive Psychology,Undirected,2012,30
Sam Wineburg,History of Religion,Undirected,2012,0
Sam Wineburg,Psychological Studies in Education,Undirected,2012,10
Sam Wineburg,Human Letters,Undirected,2012,20
Sam Wineburg,Cognition in the Humanities,Undirected,2012,30
Joshua P. Gutwill,Physics and History,Undirected,2012,10
Joshua P. Gutwill,Education in Math & Science & Technology,Undirected,2012,20
Joshua P. Gutwill,Visitor Research and Evaluation,Undirected,2012,30
Sue Allen,Mathematics and Science Education,Undirected,2012,20
Sue Allen,Maine Mathematics and Science Alliance,Undirected,2012,30
Timothy Kieran O'Mahony,Learning Science,Undirected,2012,10
Timothy Kieran O'Mahony,Cognitive Studies in Education,Undirected,2012,20
Timothy Kieran O'Mahony,Quantitative Research Methods,Undirected,2012,30
Nancy J. Vye,learning sciences,Undirected,2012,20
Nancy J. Vye,Education,Undirected,2012,30
John D. Bransford,Learning Sciences,Undirected,2012,10
John D. Bransford,cognitive psychology,Undirected,2012,20
John D. Bransford,Education,Undirected,2012,30
John D. Bransford,Psychology,Undirected,2012,30
Elizabeth A. Sanders,Measurement & Statistics in Educational Psychology,Undirected,2012,10
Elizabeth A. Sanders,Psychology,Undirected,2012,20
Elizabeth A. Sanders ,Quantitative Research Methods,Undirected,2012,30
Reed Stevens,Mathematics,Undirected,2012,20
Reed Stevens,Learning Sciences,Undirected,2012,30
Richard D. Stephens ,Life Sciences (Psychology),Undirected,2012,20
Richard D. Stephens ,Psychology of Swearing,Undirected,2012,30
Michael C. Richey ,Engineering Education,Undirected,2012,20
Michael C. Richey ,Learning Sciences,Undirected,2012,30
Kuen Y. Lin,Aeronautics and Astronautics,Undirected,2012,0
Kuen Y. Lin,Aeronautics and Astronautics,Undirected,2012,10
Kuen Y. Lin,Aeronautics and Astronautics,Undirected,2012,20
Kuen Y. Lin,Aeronautics and Astronautics,Undirected,2012,30
Rogers Hall,Information and Computer Science,Undirected,2012,10
Rogers Hall,Behavioral Sciences,Undirected,2012,20
Rogers Hall,Learning Science,Undirected,2012,30
Ricardo Nemirovsky,Mathematics Education,Undirected,2012,10
Ricardo Nemirovsky,Education,Undirected,2012,20
Ricardo Nemirovsky,Education and Social Research,Undirected,2012,30
Robert F. Williams,Management Development,Undirected,2012,20
Robert F. Williams,Philosophy in Cognitive Science,Undirected,2012,20
Robert F. Williams,Science in Cognitive Science,Undirected,2012,10
Robert F. Williams,Arts in Curriculum and Instruction,Undirected,2012,10
Robert F. Williams,Mechanical Engineering,Undirected,2012,0
Robert F. Williams,Learning Science,Undirected,2012,30
Robert F. Williams,Education,Undirected,2012,30
Martha W. Alibali ,Psychology,Undirected,2012,10
Martha W. Alibali ,Mathematics Education,Undirected,2012,20
Martha W. Alibali ,Educational Psychology,Undirected,2012,30
Mitchell J. Nathan,Psychology,Undirected,2012,20
Mitchell J. Nathan,Psychology,Undirected,2012,10
Mitchell J. Nathan,Electrical and Computer Engineering,Undirected,2012,0
Mitchell J. Nathan,Mathematics,Undirected,2012,0
Mitchell J. Nathan,History,Undirected,2012,0
Mitchell J. Nathan,Learning Science,Undirected,2012,30
Rasmussen Chris,Science in Mechanical Engineering,Undirected,2012,0
Rasmussen Chris,Mathematics,Undirected,2012,10
Rasmussen Chris,Mathematics Education,Undirected,2012,20
Rasmussen Chris,Mathematics & Science Education,Undirected,2012,30
George Sweeney,American Literature and Culture,Undirected,2012,0
George Sweeney,Pure Mathematics,Undirected,2012,10
George Sweeney,Math and Science Education,Undirected,2012,20
George Sweeney,Mathematics,Undirected,2012,30
Megan Wawro,Mathematics,Undirected,2012,0
Megan Wawro,Mathematics and Science Education,Undirected,2012,10
Megan Wawro,Mathematics Education,Undirected,2012,20
Megan Wawro,Mathematics,Undirected,2012,30
Rafael N__ez,Cognitive Science,Undirected,2012,20
Rafael N__ez,Computers and Instruction,Undirected,2012,0
Rafael N__ez,Mathematics and Engineering,Undirected,2012,0
Rafael N__ez,Psycho-cognitive,Undirected,2012,10
Rafael N__ez,Institute of Cognitive and Brain Studies,Undirected,2012,10
Rafael N__ez,Study of Language and Information,Undirected,2012,10
Rafael N__ez,Cognitive Science,Undirected,2012,30
Randi A. Engle,Symbolic Systems in Education,Undirected,2012,0
Randi A. Engle,Mathematics,Undirected,2012,10
Randi A. Engle,Psychology,Undirected,2012,20
Randi A. Engle,Education,Undirected,2012,30
Stephen K. Reed,Mathematical Psychology,Undirected,2012,10
Stephen K. Reed,Psychology,Undirected,2012,20
Stephen K. Reed,Psychology,Undirected,2012,30
Nokes-Malach Timothy J,Beckman Postdoctoral Fellow,Undirected,2012,0
Nokes-Malach Timothy J,Psychology,Undirected,2012,10
Nokes-Malach Timothy J,Cognitive,Undirected,2012,20
Nokes-Malach Timothy J,Cognitive Science Learning,Undirected,2012,30
Daniel M. Belenky,Psychology,Undirected,2012,20
Daniel M. Belenky,Learning Science,Undirected,2012,30
Joanne Lobato,Maths Education,Undirected,2012,10
Joanne Lobato,Learning Sciences,Undirected,2012,20
Joanne Lobato,Mathematics & Science Education,Undirected,2012,30
Rhodehamel Bohdan,Mathematics and Science Education,Undirected,2012,0
Rhodehamel Bohdan,Mathematics Education,Undirected,2012,10
Rhodehamel Bohdan,Mathematics,Undirected,2012,20
Rhodehamel Bohdan,"Mathematics, Science & Engineering",Undirected,2012,30
Charles Hohensee,Physics,Undirected,2012,10
Charles Hohensee,Mathematics Education,Undirected,2012,20
Charles Hohensee,Education,Undirected,2012,30
Susan R. Goldman,Speciality Exam,Undirected,2012,0
Susan R. Goldman,Learning Sciences,Undirected,2012,10
Susan R. Goldman,Psychology,Undirected,2012,20
Susan R. Goldman,Learning Science,Undirected,2012,30
