Source,Target,Type,Year,Code
William Frawley,Cognitive Science,Undirected,1999,30
William Frawley,Philology,Undirected,1999,30
William Frawley,Linguistics,Undirected,1999,20
William Frawley,Linguistics,Undirected,1999,10
William Frawley,Spanish & General Literature,Undirected,1999,00
Charles Crook,Developmental Psychology,Undirected,1999,30
Charles Crook,Computer Assisted Learning,Undirected,1999,30
Charles Crook,Education,Undirected,1999,00
Douglas N. Gordin,The Learning Sciences,Undirected,1999,30
Michael Cole,Psychology,Undirected,1999,00
Michael Cole,Psychology,Undirected,1999,10
Michael Cole,Psychology,Undirected,1999,20
Michael Cole,Psychology,Undirected,1999,30
Albert T. Corbett,Psychology,Undirected,1999,00
Albert T. Corbett,Experimental Psychology,Undirected,1999,10
Albert T. Corbett,Experimental Psychology,Undirected,1999,20
Albert T. Corbett,Experimental Psychology,Undirected,1999,30
Amy M. Shapiro,Psychology,Undirected,1999,30
Allan Jeong,Psychology,Undirected,1999,00
Allan Jeong,Educational Psychology,Undirected,1999,10
Allan Jeong,Educational Technology,Undirected,1999,20
Allan Jeong,Distance Education,Undirected,1999,20
Allan Jeong,Continuing Adult & Vocational Education,Undirected,1999,20
Eric Fehse,Psychology,Undirected,1999,30
Carmi Schooler,Sociology,Undirected,1999,30
Carmi Schooler,Behavioral Sciences,Undirected,1999,30
Carmi Schooler,Education,Undirected,1999,30
Carmi Schooler,Psychology,Undirected,1999,20
Richard Lehrer,teaching and learning,Undirected,1999,30
Richard Lehrer,Educational Psychology,Undirected,1999,20
Richard Lehrer,Statistics,Undirected,1999,20
Richard Lehrer,Educational Psychology,Undirected,1999,10
Richard Lehrer,Statistics,Undirected,1999,10
Richard Lehrer,biology,Undirected,1999,00
Richard Lehrer,Chemistry,Undirected,1999,00
Kurt VanLehn,Computer Science,Undirected,1999,20
Kurt VanLehn,Computer Science,Undirected,1999,10
Kurt VanLehn,Mathematics,Undirected,1999,00
Wolff-Michael Roth,science?and?technology,Undirected,1999,20
Wolff-Michael Roth,Physics,Undirected,1999,20
Wolff-Michael Roth,Physics,Undirected,1999,10
Wolff-Michael Roth,Chemistry,Undirected,1999,10
Wolff-Michael Roth,Applied Mathematics,Undirected,1999,10
Katerine Bielaczyc,Science,Undirected,1999,00
Katerine Bielaczyc,Computer Science,Undirected,1999,10
Katerine Bielaczyc,Computer Science,Undirected,1999,20
Allan Collins,Psychology,Undirected,1999,20
Allan Collins,Communication Science,Undirected,1999,10
Allan Collins,Accounting,Undirected,1999,00
Hans Spada,Psychology,Undirected,1999,20
Sasha A. Barab,Psychology,Undirected,1999,00
Sasha A. Barab,Education,Undirected,1999,10
Sasha A. Barab,Cognition and Instruction,Undirected,1999,20
Daniel C. Edelson,Engineering Sciences,Undirected,1999,00
Daniel C. Edelson,program in Computer Science,Undirected,1999,20
Daniel C. Edelson,Computer Science,Undirected,1999,20
Timothy Koschmann,Philosophy,Undirected,1999,00
Timothy Koschmann,Psychology,Undirected,1999,10
Timothy Koschmann,Computer Science,Undirected,1999,20
Roy D. Pea,Philosophy,Undirected,1999,20
Roy D. Pea,Psychology,Undirected,1999,20
Roy D. Pea,literature,Undirected,1999,00
