source,target,type,year,make
Janet L. Kolodner,math,Undirected,2003,00
Janet L. Kolodner,computer science,Undirected,2003,00
Janet L. Kolodner,computer science,Undirected,2003,10
Janet L. Kolodner,computer science,Undirected,2003,20
Janet L. Kolodner,learning science,Undirected,2003,30
Janet L. Kolodner,cognitive science,Undirected,2003,30
William A. Sandoval,computer science,Undirected,2003,00
William A. Sandoval,learning science,Undirected,2003,20
William A. Sandoval,education science,Undirected,2003,30
David Hammer,physics,Undirected,2003,00
David Hammer,physics,Undirected,2003,10
David Hammer,science and mathematics education,Undirected,2003,20
David Hammer,physics and curriculum & instruction,Undirected,2003,30
Andrew Elby,chemistry & physics,Undirected,2003,00
Andrew Elby,history & philosophy of science,Undirected,2003,10
Andrew Elby,physics,Undirected,2003,10
Andrew Elby,education,Undirected,2003,10
Andrew Elby,"individual major, physics/philosophy",Undirected,2003,20
Andrew Elby,physics,Undirected,2003,30
Elizabeth A. Davis,engineering and management systems,Undirected,2003,00
Elizabeth A. Davis,"education in mathematics, science, and technology",Undirected,2003,10
Elizabeth A. Davis,"education in mathematics, science, and technology",Undirected,2003,20
Elizabeth A. Davis,science education,Undirected,2003,30
Elizabeth A. Davis,school of education,Undirected,2003,30
Anat Zohar,philosophy and biology,Undirected,2003,00
Anat Zohar,genetics,Undirected,2003,10
Anat Zohar,science ,Undirected,2003,20
Anat Zohar,school of education,Undirected,2003,30
Yehudit J. Dori,chemistry and biochemistry,Undirected,2003,00
Yehudit J. Dori,life sciences,Undirected,2003,10
Yehudit J. Dori,science education,Undirected,2003,20
Yehudit J. Dori,education in science and technology,Undirected,2003,30
Daniel D. Suthers,fine arts,Undirected,2003,00
Daniel D. Suthers,computer science,Undirected,2003,10
Daniel D. Suthers,computer science,Undirected,2003,20
Daniel D. Suthers,information and computer sciences,Undirected,2003,30
Daniel D. Suthers,interactive learning technologies,Undirected,2003,30
Christopher D. Hundhausen,math/computer Science,Undirected,2003,00
Christopher D. Hundhausen,computer and information science,Undirected,2003,10
Christopher D. Hundhausen,computer and information science,Undirected,2003,20
Christopher D. Hundhausen,computer science,Undirected,2003,30
Baruch B. Schwarz,mathematics,Undirected,2003,10
Baruch B. Schwarz,science education,Undirected,2003,20
Baruch B. Schwarz,the school of education,Undirected,2003,30
Yair Neuman,psychology,Undirected,2003,00
Yair Neuman,philosophy,Undirected,2003,00
Yair Neuman,cognition,Undirected,2003,20
Yair Neuman,brain and cognitive sciences,Undirected,2003,30
Yair Neuman,interdisciplinary research,Undirected,2003,30
Julia Gil,arts,Undirected,2003,00
Julia Gil,physics,Undirected,2003,10
Merav Ilya,electrical engineering,Undirected,2003,00
Merav Ilya,information theory,Undirected,2003,10
Timothy Koschmann,philosophy,Undirected,2003,00
Timothy Koschmann,psychology,Undirected,2003,10
Timothy Koschmann,computer science,Undirected,2003,20
Timothy Koschmann,medical education,Undirected,2003,30
Wes Sharrock,sociology,Undirected,2003,30
Graham Button,sociology,Undirected,2003,30
Graham Button,xerox research centre europe,Undirected,2003,30
Gordon Wells,"language, learning and teaching",Undirected,2003,30
Gordon Wells,applied linguistics,Undirected,2003,30
Gordon Wells,education,Undirected,2003,30
John M. Carroll,information science,Undirected,2003,00
John M. Carroll,mathematics,Undirected,2003,00
John M. Carroll,experimental psychology ,Undirected,2003,10
John M. Carroll,experimental psychology ,Undirected,2003,20
John M. Carroll,information sciences and technology,Undirected,2003,30
John M. Carroll,human–computer interaction,Undirected,2003,30
Alonso H. Vera,science,Undirected,2003,00
Alonso H. Vera,computer science,Undirected,2003,20
Alonso H. Vera,nasa aims research center,Undirected,2003,30
Alonso H. Vera,human factors division,Undirected,2003,30
Daniel L. Schwartz,philosophy and anthropology,Undirected,2003,00
Daniel L. Schwartz,computers and education,Undirected,2003,10
Daniel L. Schwartz,human cognition and learning,Undirected,2003,20
Daniel L. Schwartz,educational technology,Undirected,2003,30
Taylor Martin,linguistics,Undirected,2003,00
Taylor Martin,cognitive psychology,Undirected,2003,10
Taylor Martin,educational psychology,Undirected,2003,20
Taylor Martin,curriculum and instruction ,Undirected,2003,30
Taylor Martin,learning sciences,Undirected,2003,30
Lucy Suchman,social/cultural anthropology,Undirected,2003,00
Lucy Suchman,social/cultural anthropology,Undirected,2003,10
