source,target,type,year,make
David Carraher,Psychology,Undirected,2002,20
David Carraher,Technical Education,Undirected,2002,30
Anal¨²cia Schliemann,Education,Undirected,2002,00
Anal¨²cia Schliemann,Psychology,Undirected,2002,10
Anal¨²cia Schliemann,Developmental Psychology,Undirected,2002,20
Anal¨²cia Schliemann,Education,Undirected,2002,30
Shaaron Ainsworth,Social Sciences,Undirected,2002,30
Peter Bibby,Science,Undirected,2002,30
David Wood,Mathematics,Undirected,2002,00
David Wood,Computer Science,Undirected,2002,00
David Wood,Software Engineering,Undirected,2002,20
David Wood,Computer Science,Undirected,2002,20
David Wood,Mathematical Sciences ,Undirected,2002,30
Erica de Vries,Educational Science,Undirected,2002,30
Michael Baker,Psychology,Undirected,2002,00
Michael Baker,Psychology,Undirected,2002,10
Michael Baker,Psychology,Undirected,2002,20
Michael Baker,Psychology,Undirected,2002,30
Daniel C. Edelson,Engineering Sciences,Undirected,2002,00
Daniel C. Edelson,Computer Science,Undirected,2002,20
Daniel C. Edelson,Mathematical Sciences ,Undirected,2002,30
Daniel C. Edelson,Learning Sciences,Undirected,2002,30
Janet L. Kolodner,Math,Undirected,2002,00
Janet L. Kolodner,Computer Science,Undirected,2002,00
Janet L. Kolodner,Computer Science,Undirected,2002,10
Janet L. Kolodner,Computer Science,Undirected,2002,20
Janet L. Kolodner,Learning Sciences,Undirected,2002,30
Catherine A. Clement,Anthropology,Undirected,2002,10
Catherine A. Clement,Cognitive Psychology,Undirected,2002,20
Catherine A. Clement,Cognitive Psychology,Undirected,2002,30
Catherine A. Clement,Psychology,Undirected,2002,30
Anna Sfard,Mathematics Education,Undirected,2002,30
Paul Cobb,Teaching and Learning,Undirected,2002,30
Ellice Ann Forman,Mathematics,Undirected,2002,00
Ellice Ann Forman,Human Development,Undirected,2002,10
Ellice Ann Forman,Human Development,Undirected,2002,20
Ellice Ann Forman,Instruction and Learning,Undirected,2002,30
Ellen Ansell,Curriculum and Instruction,Undirected,2002,20
Ellen Ansell,Instruction and Learning,Undirected,2002,30
Geoffrey B. Saxe,psychology,Undirected,2002,20
Geoffrey B. Saxe,Graduate School of Education,Undirected,2002,30
Anal¨²cia D. Schliemann,Education,Undirected,2002,30
Bert van Oers,behavioural and movement sciences,Undirected,2002,30
Magdalene Lampert,Education,Undirected,2002,00
Magdalene Lampert,Education,Undirected,2002,10
Magdalene Lampert,Education,Undirected,2002,20
Magdalene Lampert,Education,Undirected,2002,30
Neil Mercer,Psycholinguistics,Undirected,2002,20
Neil Mercer,Education,Undirected,2002,30
Douglas Macbeth,Political Science,Undirected,2002,00
Douglas Macbeth,Education,Undirected,2002,10
Douglas Macbeth,Education,Undirected,2002,20
Douglas Macbeth,Educational Studies,Undirected,2002,30
John J. Clement ,Teacher Education,Undirected,2002,30
Melvin S. Steinberg,Physics,Undirected,2002,20
Melvin S. Steinberg,Physics,Undirected,2002,30
Dave Pratt ,Education and Counseling,Undirected,2002,30
Richard Noss,Mathematics,Undirected,2002,10
Richard Noss,Mathematical Education.,Undirected,2002,20
Richard Noss,Education,Undirected,2002,30
Sasha A. Barab,Psychology,Undirected,2002,00
Sasha A. Barab,Education,Undirected,2002,10
Sasha A. Barab,Cognition and Instruction,Undirected,2002,20
Sasha A. Barab,Education,Undirected,2002,30
Michael Barnett ,Physics,Undirected,2002,10
Michael Barnett ,Science Education,Undirected,2002,20
Michael Barnett ,school of education,Undirected,2002,30
Kurt Squire,Research Manager of the Games,Undirected,2002,30
