source,target,type,year,make
Elizabeth M.Walsh,Chemistry,Undirected,2018,00
Elizabeth M.Walsh,Oceanography,Undirected,2018,10
Elizabeth M.Walsh,Learning Sciences,Undirected,2018,20
Elizabeth M.Walsh,Science Education,Undirected,2018,30
Elizabeth M.Walsh,Meteorology and Climate Science,Undirected,2018,30
Blakely K. Tsurusaki,Biology,Undirected,2018,00
Blakely K. Tsurusaki,Science Education,Undirected,2018,10
Blakely K. Tsurusaki,Curriculum,Undirected,2018,20
Blakely K. Tsurusaki,Teaching and Educational Policy,Undirected,2018,20
Blakely K. Tsurusaki,Educational Renewal,Undirected,2018,30
Julianne C. Turner,French,Undirected,2018,00
Julianne C. Turner,Reading,Undirected,2018,10
Julianne C. Turner,Language,Undirected,2018,10
Julianne C. Turner,Psychology,Undirected,2018,20
Julianne C. Turner,Education,Undirected,2018,20
Julianne C. Turner,Psychology,Undirected,2018,30
Andrea Christensen,Education Schooling and Society,Undirected,2018,00
Andrea Christensen,Psychology,Undirected,2018,00
Andrea Christensen,Developmental Psychology,Undirected,2018,10
Andrea Christensen,Developmental Psychology,Undirected,2018,20
Andrea Christensen,Psychology,Undirected,2018,30
Hayal Z. Kackar-Cam,English Language and Literature,Undirected,2018,00
Hayal Z. Kackar-Cam,Educational Psychology,Undirected,2018,10
Hayal Z. Kackar-Cam,Educational Psychology,Undirected,2018,20
Hayal Z. Kackar-Cam,Psychology,Undirected,2018,30
Sara M. Fulmer,Child and Youth Studies,Undirected,2018,00
Sara M. Fulmer,Primary/Junior(Grades K-6),Undirected,2018,00
Sara M. Fulmer,Child and Youth Studies,Undirected,2018,10
Sara M. Fulmer,Developmental Psychology,Undirected,2018,20
Sara M. Fulmer,Open Learning and Educational Support,Undirected,2018,30
Meg Trucano,Liberal Studies,Undirected,2018,00
Meg Trucano,Developmental Psychology,Undirected,2018,10
Meg Trucano,Developmental Psychology,Undirected,2018,20
Fl¨¢vio S. Azevedo,Science and Mathematics Education,Undirected,2018,20
Fl¨¢vio S. Azevedo,Curriculum and Instruction,Undirected,2018,30
Michele J. Mann,Science Education,Undirected,2018,10
Michele J. Mann,Curriculum and Instruction,Undirected,2018,30
R. Keith Sawyer,Computer Science,Undirected,2018,00
R. Keith Sawyer,Psychology,Undirected,2018,10
R. Keith Sawyer,Psychology,Undirected,2018,20
R. Keith Sawyer,Educational Innovations,Undirected,2018,30
Thomas M. Philip,Electrical Engineering,Undirected,2018,00
Thomas M. Philip,Computer Science,Undirected,2018,00
Thomas M. Philip,Cognition and Development,Undirected,2018,20
Thomas M. Philip,Teacher Education,Undirected,2018,30
Ayush Gupta,Electronics and Electrical Communications Engineering,Undirected,2018,00
